Close	ATR	Momentum	CCI	MACD	EMA	Times
495.79	6.248	0.0	-36.91	-20.28	523.67	2010-01-06
501.32	6.476	5.53	-1.311	-18.44	522.23	2010-01-07
501.32	6.013	0.0	-0.8379	-16.79	520.88	2010-01-08
501.32	5.584	0.0	7.59	-15.3	519.62	2010-01-11
497.64	5.448	-3.68	-7.761	-14.26	518.2	2010-01-12
501.32	5.274	3.68	-3.847	-12.98	517.11	2010-01-13
499.48	5.029	-1.84	31.41	-11.98	515.98	2010-01-14
497.64	5.328	-1.84	-25.54	-11.21	514.79	2010-01-15
499.48	5.079	1.84	61.72	-10.33	513.81	2010-01-18
497.64	4.847	-1.84	42.54	-9.671	512.76	2010-01-19
482.89	5.028	-14.75	-76.04	-10.22	510.84	2010-01-20
482.89	4.668	0.0	-125.3	-10.53	509.03	2010-01-21
479.21	4.598	-3.68	-149.8	-10.95	507.11	2010-01-22
479.21	4.269	0.0	-137.7	-11.16	505.31	2010-01-25
479.21	3.964	0.0	-126.1	-11.19	503.62	2010-01-26
479.21	4.471	0.0	-56.13	-11.09	502.05	2010-01-27
457.09	6.258	-22.12	-254.2	-12.64	499.15	2010-01-28
451.56	6.417	-5.53	-239.6	-14.16	496.08	2010-01-29
451.56	6.117	0.0	-175.9	-15.19	493.21	2010-02-01
451.56	5.68	0.0	-153.1	-15.82	490.52	2010-02-02
451.56	5.274	0.0	-130.5	-16.14	488.01	2010-02-03
449.72	5.556	-1.84	-131.9	-16.35	485.54	2010-02-04
449.72	5.949	0.0	-124.4	-16.33	483.23	2010-02-05
431.29	6.314	-18.43	-121.6	-17.59	479.87	2010-02-08
431.29	5.863	0.0	-123.5	-18.38	476.74	2010-02-09
422.07	5.971	-9.22	-130.9	-19.53	473.21	2010-02-10
415.07	6.703	-7.0	-154.4	-20.77	469.46	2010-02-11
411.01	6.515	-4.06	-136.0	-21.82	465.69	2010-02-12
414.7	6.418	3.69	-132.3	-22.1	462.4	2010-02-15
414.7	6.139	0.0	-100.9	-22.07	459.32	2010-02-16
