Close	ATR	Momentum	CCI	MACD	EMA	Times
532.24	14.04	2.88	104.4	5.383	515.96	2010-01-06
518.23	14.16	-14.01	46.18	4.63	516.11	2010-01-07
526.47	13.77	8.24	56.02	4.645	516.78	2010-01-08
516.58	13.75	-9.89	20.8	3.815	516.76	2010-01-11
519.05	13.63	2.47	10.38	3.318	516.91	2010-01-12
514.52	13.74	-4.53	-8.794	2.529	516.76	2010-01-13
511.63	13.62	-2.89	-44.68	1.652	516.43	2010-01-14
502.97	13.7	-8.66	-105.7	0.255	515.56	2010-01-15
507.09	13.49	4.12	-97.49	-0.5137	515.01	2010-01-18
505.86	13.76	-1.23	-130.5	-1.208	514.42	2010-01-19
500.09	13.96	-5.77	-147.9	-2.199	513.5	2010-01-20
501.32	13.87	1.23	-133.3	-2.852	512.71	2010-01-21
499.26	14.12	-2.06	-140.3	-3.495	511.84	2010-01-22
498.44	14.14	-0.82	-122.2	-4.025	510.98	2010-01-25
495.96	13.75	-2.48	-135.3	-4.592	510.01	2010-01-26
486.89	13.62	-9.07	-160.7	-5.707	508.52	2010-01-27
484.83	13.47	-2.06	-133.7	-6.681	506.99	2010-01-28
476.59	13.9	-8.24	-154.1	-8.024	505.03	2010-01-29
483.59	13.79	7.0	-144.3	-8.427	503.65	2010-02-01
488.95	13.54	5.36	-94.74	-8.219	502.7	2010-02-02
501.73	13.54	12.78	-33.39	-6.943	502.63	2010-02-03
490.19	13.81	-11.54	-53.0	-6.785	501.83	2010-02-04
473.7	14.15	-16.49	-138.7	-7.899	500.02	2010-02-05
462.16	14.64	-11.54	-189.9	-9.602	497.57	2010-02-08
461.74	14.33	-0.42	-170.1	-10.86	495.26	2010-02-09
479.47	15.05	17.73	-85.89	-10.31	494.24	2010-02-10
478.24	15.12	-1.23	-58.19	-9.857	493.21	2010-02-11
470.81	15.25	-7.43	-88.53	-9.983	491.77	2010-02-12
473.29	14.75	2.48	-73.04	-9.771	490.57	2010-02-15
481.95	14.46	8.66	-33.71	-8.802	490.02	2010-02-16
497.61	14.78	15.66	64.27	-6.693	490.51	2010-02-17
495.55	14.49	-2.06	78.01	-5.13	490.83	2010-02-18
498.02	14.19	2.47	80.91	-3.649	491.3	2010-02-19
504.62	14.03	6.6	138.3	-1.92	492.16	2010-02-22
496.38	14.21	-8.24	103.8	-1.202	492.43	2010-02-23
502.97	14.02	6.59	99.76	-0.09949	493.11	2010-02-24
485.66	14.37	-17.31	34.5	-0.6155	492.63	2010-02-25
