Close	ATR	Momentum	CCI	MACD	EMA	Times
173.48	3.913	-0.5	-84.48	-3.562	181.21	2010-08-16
172.57	3.885	-0.91	-110.5	-3.656	180.66	2010-08-17
171.44	3.857	-1.13	-125.2	-3.778	180.06	2010-08-18
173.58	3.859	2.14	-91.29	-3.66	179.64	2010-08-19
175.6	3.863	2.02	-62.43	-3.365	179.38	2010-08-20
173.51	3.839	-2.09	-62.35	-3.262	179.0	2010-08-23
172.76	3.726	-0.75	-85.7	-3.204	178.6	2010-08-24
172.04	3.611	-0.72	-92.32	-3.18	178.18	2010-08-25
170.01	3.601	-2.03	-114.6	-3.286	177.65	2010-08-26
168.78	3.641	-1.23	-130.3	-3.43	177.08	2010-08-27
163.28	3.751	-5.14	-216.8	-3.983	175.67	2010-08-31
166.41	3.788	3.13	-171.2	-4.041	175.07	2010-09-01
166.54	3.679	0.13	-127.8	-4.029	174.52	2010-09-02
164.48	3.64	-2.06	-142.8	-4.139	173.87	2010-09-03
170.93	4.202	1.54	-3.766	-3.343	173.41	2010-09-07
170.61	4.058	-0.32	-7.463	-2.984	173.23	2010-09-08
170.23	3.919	-0.38	-2.246	-2.699	173.04	2010-09-09
176.32	4.107	6.09	97.84	-1.959	173.25	2010-09-13
175.53	4.052	-0.79	128.5	-1.42	173.4	2010-09-14
179.56	4.148	4.03	161.4	-0.6595	173.79	2010-09-15
177.87	4.098	-1.69	143.3	-0.1914	174.06	2010-09-16
182.46	4.171	4.59	163.2	0.5437	174.6	2010-09-17
184.76	4.157	2.3	178.1	1.297	175.25	2010-09-20
183.55	4.149	-1.21	154.2	1.776	175.79	2010-09-21
179.4	4.154	1.4	61.63	1.614	176.52	2010-09-27
177.39	4.105	-2.01	38.03	1.434	176.58	2010-09-28
177.54	3.986	0.15	32.24	1.288	176.64	2010-09-29
175.28	3.965	-2.26	-2.64	0.9794	176.55	2010-09-30
186.28	3.947	1.73	128.1	2.373	178.78	2010-10-08
189.96	3.941	3.68	188.2	2.877	179.5	2010-10-11
187.28	4.02	-2.68	141.4	3.025	180.0	2010-10-12
190.53	3.977	3.25	147.9	3.366	180.68	2010-10-13
188.06	4.008	-2.47	119.8	3.397	181.15	2010-10-14
184.97	4.122	-3.09	61.99	3.137	181.4	2010-10-15
186.4	4.218	1.43	61.46	3.011	181.72	2010-10-18
185.5	4.273	-0.9	60.74	2.807	181.97	2010-10-19
186.36	4.295	0.86	54.2	2.683	182.25	2010-10-20
191.79	4.468	5.43	105.8	2.989	182.87	2010-10-21
192.18	4.385	0.39	129.2	3.225	183.47	2010-10-22
193.76	4.32	1.58	144.2	3.5	184.13	2010-10-25
194.85	4.166	1.09	140.3	3.762	184.82	2010-10-26
194.17	4.185	-0.68	131.8	3.87	185.43	2010-10-27
192.46	4.191	-1.71	98.38	3.775	185.88	2010-10-28
194.73	4.236	2.27	110.4	3.838	186.45	2010-10-29
194.25	5.186	-0.48	180.5	3.805	186.95	2010-11-01
190.92	5.129	-3.33	36.53	3.471	187.21	2010-11-02
189.3	5.051	-1.62	-2.59	3.04	187.34	2010-11-03
196.32	5.217	7.02	79.84	3.228	187.92	2010-11-04
197.61	5.089	1.29	120.8	3.441	188.55	2010-11-08
196.8	5.014	-0.81	102.0	3.504	189.08	2010-11-09
195.91	4.866	-0.89	85.91	3.443	189.52	2010-11-10
192.29	4.944	-3.62	26.45	3.067	189.7	2010-11-11
188.7	4.96	-3.59	-53.26	2.451	189.64	2010-11-12
187.3	4.97	-1.4	-114.1	1.828	189.48	2010-11-15
183.1	4.995	-4.2	-163.4	0.985	189.07	2010-11-16
183.49	5.021	0.39	-177.6	0.3441	188.71	2010-11-18
177.15	5.292	-6.34	-222.8	-0.6677	187.97	2010-11-19
179.86	5.144	2.71	-175.2	-1.237	187.44	2010-11-22
176.8	5.247	-3.06	-174.3	-1.912	186.76	2010-11-23
176.66	5.238	-0.14	-132.9	-2.431	186.11	2010-11-24
171.05	5.236	-3.15	-136.1	-3.674	184.42	2010-11-26
177.39	5.363	6.34	-96.34	-3.649	183.96	2010-11-29
175.36	5.299	-2.03	-80.25	-3.75	183.41	2010-11-30
175.95	5.098	0.59	-76.03	-3.739	182.93	2010-12-01
179.39	5.005	3.44	-47.3	-3.414	182.7	2010-12-02
178.84	4.956	-0.55	-38.11	-3.164	182.45	2010-12-03
181.21	4.899	2.37	-14.47	-2.743	182.37	2010-12-06
183.13	4.807	1.92	9.803	-2.229	182.42	2010-12-07
181.1	4.707	-2.03	-2.782	-1.963	182.33	2010-12-08
174.92	5.079	-6.18	-47.99	-2.225	181.86	2010-12-09
181.92	5.339	7.0	-0.2628	-1.846	181.86	2010-12-10
185.13	5.414	3.21	93.32	-1.272	182.07	2010-12-13
187.05	5.236	1.92	172.5	-0.6553	182.39	2010-12-14
186.93	5.194	-0.12	161.5	-0.1739	182.68	2010-12-15
187.62	5.052	0.69	152.6	0.2603	183.0	2010-12-16
187.91	5.033	0.29	137.6	0.6206	183.32	2010-12-20
190.4	4.892	2.49	148.6	1.095	183.78	2010-12-21
187.84	4.859	-2.56	112.4	1.249	184.04	2010-12-22
188.04	4.687	0.2	91.75	1.372	184.3	2010-12-23
186.29	4.096	0.21	41.65	1.24	184.92	2010-12-29
186.7	3.925	0.41	40.55	1.179	185.04	2010-12-30
188.06	3.843	1.36	66.26	1.227	185.23	2010-12-31
191.31	3.794	3.98	108.8	1.468	185.75	2011-01-04
190.84	3.775	-0.47	139.6	1.631	186.08	2011-01-05
192.63	3.704	1.79	154.0	1.882	186.5	2011-01-06
189.24	3.814	-3.39	91.1	1.787	186.68	2011-01-07
183.22	4.158	-6.02	-128.4	1.212	186.46	2011-01-10
180.25	4.489	-2.97	-259.8	0.5112	186.06	2011-01-11
183.14	4.574	2.89	-201.1	0.1866	185.87	2011-01-12
180.42	4.602	-2.72	-170.7	-0.2869	185.52	2011-01-13
177.91	4.666	-2.51	-188.8	-0.8548	185.03	2011-01-14
176.75	4.416	-0.56	-155.1	-1.746	184.03	2011-01-18
174.42	4.468	-2.33	-153.7	-2.231	183.41	2011-01-19
172.33	4.495	-2.09	-170.5	-2.753	182.69	2011-01-20
175.31	4.456	2.98	-113.8	-2.893	182.22	2011-01-21
172.56	4.549	-2.75	-111.6	-3.188	181.59	2011-01-24
170.34	4.585	-2.22	-120.5	-3.561	180.87	2011-01-25
167.58	4.613	-2.76	-135.0	-4.032	180.01	2011-01-27
162.51	4.834	-5.07	-162.0	-4.76	178.88	2011-01-28
163.36	4.815	0.85	-148.7	-5.209	177.88	2011-01-31
159.16	4.952	-4.2	-150.1	-5.835	176.67	2011-02-01
162.04	5.091	-0.65	-79.44	-5.35	172.49	2011-02-09
159.89	5.185	-2.15	-100.5	-5.443	171.68	2011-02-10
161.82	5.154	1.93	-88.79	-5.301	171.04	2011-02-11
162.64	5.078	0.82	-73.11	-5.064	170.5	2011-02-14
167.35	5.132	4.71	-15.02	-4.444	170.29	2011-02-15
167.75	4.943	0.4	24.16	-3.876	170.13	2011-02-16
169.44	4.819	1.69	48.25	-3.253	170.09	2011-02-17
166.57	4.849	-2.87	42.08	-2.956	169.86	2011-02-18
175.05	5.159	5.07	222.1	-1.563	170.2	2011-02-22
177.06	5.048	2.01	209.6	-0.7164	170.64	2011-02-23
171.64	5.173	-5.42	129.5	-0.477	170.71	2011-02-24
171.65	5.148	0.01	91.62	-0.2831	170.77	2011-02-25
171.48	5.2	-0.17	97.05	-0.1416	170.81	2011-02-28
175.74	5.171	4.26	111.8	0.3108	171.13	2011-03-01
173.87	5.059	-1.87	85.44	0.5124	171.31	2011-03-03
174.46	4.883	0.59	92.58	0.7117	171.51	2011-03-04
173.47	4.76	-0.99	59.11	0.7807	171.64	2011-03-07
174.93	4.62	1.46	77.87	0.9423	171.85	2011-03-08
176.62	4.742	1.69	79.63	1.193	172.16	2011-03-09
174.94	4.556	-1.68	68.57	1.242	172.34	2011-03-10
176.21	4.522	1.27	63.96	1.367	172.59	2011-03-11
180.84	4.56	4.63	135.5	1.819	173.12	2011-03-14
184.16	4.975	3.32	187.0	2.418	173.83	2011-03-15
185.63	4.85	1.47	236.4	2.976	174.59	2011-03-16
183.29	4.763	-2.34	177.9	3.193	175.15	2011-03-17
176.49	5.042	-6.8	59.52	2.784	175.24	2011-03-18
175.67	4.928	-0.82	-3.997	2.367	175.27	2011-03-21
177.62	4.781	1.95	21.03	2.168	175.42	2011-03-22
179.95	4.687	2.33	52.52	2.174	175.71	2011-03-23
179.5	4.579	-0.45	61.25	2.117	175.96	2011-03-24
182.33	4.491	2.83	88.1	2.275	176.37	2011-03-25
181.86	4.499	-0.47	85.1	2.335	176.72	2011-03-28
181.73	4.336	-0.13	78.84	2.345	177.05	2011-03-29
183.55	4.205	1.82	94.44	2.471	177.47	2011-03-30
186.2	4.154	2.65	130.6	2.754	178.03	2011-03-31
183.98	4.398	-2.22	104.6	2.766	178.41	2011-04-01
185.5	4.182	-0.19	93.23	2.975	179.77	2011-04-06
184.84	4.046	-0.66	69.47	2.875	180.1	2011-04-07
182.01	4.123	-2.83	23.42	2.538	180.22	2011-04-08
178.98	4.135	-3.03	-79.19	2.004	180.14	2011-04-11
181.56	4.164	2.58	-50.54	1.768	180.23	2011-04-13
180.98	4.08	-0.58	-39.21	1.517	180.28	2011-04-15
179.51	4.261	-1.47	-16.81	1.186	180.23	2011-04-18
179.72	4.197	0.21	-69.02	0.9294	180.2	2011-04-19
