Close	ATR	Momentum	CCI	MACD	EMA	Times
50.65	1.482	0.35	126.5	-0.4654	50.39	2010-01-06
51.6	1.523	0.95	167.4	-0.2801	50.47	2010-01-07
51.85	1.5	0.25	154.2	-0.1119	50.56	2010-01-08
52.85	1.472	1.0	168.3	0.101	50.71	2010-01-11
51.85	1.47	-1.0	118.1	0.1869	50.78	2010-01-12
51.9	1.433	0.05	107.1	0.256	50.85	2010-01-13
52.45	1.425	0.55	101.5	0.3512	50.96	2010-01-14
52.85	1.379	0.4	117.1	0.4536	51.08	2010-01-15
52.75	1.387	-0.1	102.3	0.5207	51.19	2010-01-18
52.5	1.38	-0.25	86.95	0.5474	51.27	2010-01-19
52.4	1.377	-0.1	80.27	0.5541	51.34	2010-01-20
52.15	1.492	-0.25	86.75	0.5331	51.4	2010-01-21
51.05	1.504	-1.1	8.764	0.4228	51.37	2010-01-22
50.65	1.464	-0.4	-30.37	0.2997	51.33	2010-01-25
50.45	1.434	-0.2	-67.78	0.1839	51.27	2010-01-26
49.95	1.473	-0.5	-85.93	0.05112	51.19	2010-01-27
50.0	1.427	0.05	-104.3	-0.04947	51.11	2010-01-28
52.75	1.621	2.75	37.56	0.09166	51.21	2010-01-29
52.05	1.65	-0.7	68.73	0.1453	51.27	2010-02-01
53.69	1.703	1.64	88.59	0.3166	51.42	2010-02-02
53.29	1.692	-0.4	134.9	0.4152	51.55	2010-02-03
68.86	2.683	15.57	636.7	1.73	52.66	2010-02-04
52.4	3.756	-16.46	-27.95	1.427	52.65	2010-02-05
52.4	3.584	0.0	-30.36	1.174	52.63	2010-02-08
56.39	3.631	3.99	91.79	1.28	52.87	2010-02-09
57.54	3.596	1.15	133.2	1.44	53.17	2010-02-10
58.43	3.442	0.89	119.6	1.621	53.51	2010-02-11
57.59	3.342	-0.84	90.69	1.676	53.78	2010-02-12
58.43	3.199	0.84	81.59	1.768	54.08	2010-02-15
59.28	3.095	0.85	85.46	1.887	54.41	2010-02-16
59.98	2.977	0.7	89.12	2.015	54.77	2010-02-17
60.78	2.913	0.8	90.09	2.156	55.16	2010-02-18
60.88	2.798	0.1	84.09	2.25	55.53	2010-02-19
61.98	2.735	1.1	90.39	2.386	55.94	2010-02-22
61.08	2.704	-0.9	78.12	2.393	56.28	2010-02-23
60.78	2.615	-0.3	68.43	2.348	56.57	2010-02-24
59.68	2.585	-1.1	45.78	2.198	56.77	2010-02-25
63.37	2.857	3.69	103.9	2.349	57.19	2010-02-26
64.62	2.768	1.25	110.3	2.541	57.67	2010-03-01
66.82	2.795	2.2	129.4	2.838	58.26	2010-03-02
67.17	2.791	0.35	150.4	3.066	58.84	2010-03-03
66.22	2.788	-0.95	133.7	3.134	59.31	2010-03-04
69.41	2.817	3.19	176.4	3.406	59.96	2010-03-05
66.92	2.819	-2.49	114.4	3.382	60.41	2010-03-08
