Close	ATR	Momentum	CCI	MACD	EMA	Times
114.75	2.824	-0.5	91.88	3.174	108.32	2010-01-06
114.85	2.728	0.1	79.03	3.177	108.74	2010-01-07
114.75	2.655	-0.1	78.03	3.134	109.13	2010-01-08
116.95	2.737	2.2	96.99	3.241	109.63	2010-01-11
114.85	2.805	-2.1	71.74	3.12	109.97	2010-01-12
115.75	2.782	0.9	66.27	3.061	110.34	2010-01-13
117.15	2.719	1.4	87.39	3.092	110.78	2010-01-14
115.65	2.668	-1.5	70.76	2.961	111.09	2010-01-15
114.75	2.582	-0.9	47.38	2.753	111.33	2010-01-18
116.35	2.618	1.6	56.8	2.687	111.65	2010-01-19
119.64	2.837	3.29	155.6	2.866	112.17	2010-01-20
117.25	2.955	-2.39	158.2	2.784	112.5	2010-01-21
116.85	2.916	-0.4	68.3	2.655	112.78	2010-01-22
115.65	2.857	-1.2	35.45	2.429	112.96	2010-01-25
115.65	2.732	0.0	-23.53	2.224	113.14	2010-01-26
114.15	2.658	-1.5	-86.61	1.918	113.2	2010-01-27
112.96	2.682	-1.19	-122.1	1.562	113.19	2010-01-28
115.55	2.733	2.59	-52.21	1.471	113.34	2010-01-29
115.75	2.63	0.2	-24.79	1.4	113.49	2010-02-01
118.35	2.664	2.6	101.0	1.535	113.81	2010-02-02
119.74	2.666	1.39	164.8	1.734	114.19	2010-02-03
117.95	2.667	-1.79	112.8	1.728	114.43	2010-02-04
114.45	2.833	-3.5	-69.44	1.424	114.43	2010-02-05
112.96	2.902	-1.49	-141.7	1.051	114.34	2010-02-08
113.26	2.833	0.3	-140.5	0.7707	114.27	2010-02-09
114.85	2.787	1.59	-60.17	0.6691	114.31	2010-02-10
115.25	2.744	0.4	-39.42	0.6138	114.37	2010-02-11
114.65	2.704	-0.6	-39.85	0.5156	114.39	2010-02-12
115.95	2.682	1.3	13.77	0.5364	114.49	2010-02-15
117.05	2.669	1.1	55.63	0.6344	114.65	2010-02-16
118.15	2.635	1.1	95.47	0.7917	114.88	2010-02-17
117.75	2.604	-0.4	83.12	0.874	115.06	2010-02-18
129.42	3.273	11.67	323.8	1.86	115.99	2010-02-19
129.72	3.289	0.3	316.8	2.634	116.88	2010-02-22
131.22	3.254	1.5	253.8	3.331	117.8	2010-02-23
129.42	3.353	-1.8	176.0	3.695	118.55	2010-02-24
126.93	3.305	-2.49	116.3	3.74	119.09	2010-02-25
128.62	3.226	1.69	105.4	3.867	119.71	2010-02-26
128.72	3.144	0.1	92.37	3.931	120.29	2010-03-01
131.72	3.134	3.0	101.8	4.175	121.02	2010-03-02
132.12	3.052	0.4	98.03	4.351	121.74	2010-03-03
134.21	3.069	2.09	99.32	4.606	122.55	2010-03-04
134.41	2.972	0.2	96.03	4.769	123.31	2010-03-05
134.11	3.051	-0.3	81.86	4.818	124.01	2010-03-08
132.71	3.104	-1.4	70.73	4.691	124.57	2010-03-09
129.62	3.16	-3.09	44.11	4.29	124.89	2010-03-10
128.72	3.056	-0.9	23.99	3.856	125.14	2010-03-11
129.22	2.923	0.5	22.83	3.512	125.4	2010-03-12
127.83	2.87	-1.39	0.6362	3.092	125.56	2010-03-15
126.73	2.835	-1.1	-42.64	2.639	125.64	2010-03-16
127.83	2.818	1.1	-52.81	2.342	125.78	2010-03-17
128.02	2.702	0.19	-52.99	2.098	125.92	2010-03-18
128.22	2.636	0.2	-63.23	1.899	126.07	2010-03-19
128.62	2.619	0.4	-70.81	1.753	126.24	2010-03-22
128.92	2.496	0.3	-26.43	1.643	126.41	2010-03-23
127.73	2.467	-1.19	-47.28	1.443	126.49	2010-03-24
128.62	2.397	0.89	-50.4	1.341	126.63	2010-03-25
128.92	2.411	0.3	-38.69	1.269	126.78	2010-03-26
129.22	2.302	0.3	-22.53	1.223	126.94	2010-03-29
129.42	2.21	0.2	-16.34	1.188	127.1	2010-03-30
130.12	2.183	0.7	0.1008	1.204	127.29	2010-03-31
132.32	2.219	2.2	106.5	1.377	127.62	2010-04-01
134.71	2.317	2.39	207.5	1.689	128.07	2010-04-06
133.71	2.252	-1.0	206.9	1.833	128.44	2010-04-07
133.71	2.254	0.0	159.1	1.926	128.78	2010-04-08
135.91	2.25	2.2	189.0	2.152	129.24	2010-04-09
135.81	2.218	-0.1	160.1	2.297	129.66	2010-04-12
135.91	2.117	0.1	132.7	2.392	130.06	2010-04-13
137.2	2.179	1.29	143.5	2.542	130.53	2010-04-14
136.61	2.166	-0.59	115.7	2.583	130.92	2010-04-15
135.81	2.118	-0.8	89.03	2.523	131.23	2010-04-16
135.41	2.081	-0.4	64.44	2.415	131.5	2010-04-19
136.81	2.04	1.4	79.69	2.414	131.85	2010-04-20
137.4	2.029	0.59	92.09	2.433	132.2	2010-04-21
136.61	2.048	-0.79	79.03	2.357	132.49	2010-04-22
138.0	2.116	1.39	85.55	2.382	132.84	2010-04-23
138.2	2.106	0.2	110.0	2.39	133.19	2010-04-26
135.31	2.191	-2.89	45.82	2.139	133.33	2010-04-27
133.21	2.319	-2.1	-62.27	1.75	133.32	2010-04-28
132.61	2.296	-0.6	-87.33	1.377	133.27	2010-04-29
127.13	2.623	-5.48	-256.0	0.6326	132.88	2010-04-30
124.73	2.749	-2.4	-270.9	-0.1495	132.35	2010-05-04
120.84	2.845	-3.89	-265.8	-1.071	131.61	2010-05-05
119.74	3.005	-1.1	-213.0	-1.868	130.84	2010-05-06
115.05	3.239	-4.69	-219.4	-2.846	129.82	2010-05-07
120.64	3.479	5.59	-133.4	-3.133	129.23	2010-05-10
122.64	3.614	2.0	-101.9	-3.163	128.81	2010-05-11
126.43	3.741	3.79	-55.97	-2.849	128.65	2010-05-12
127.43	3.63	1.0	-29.6	-2.49	128.57	2010-05-13
124.73	3.635	-2.7	-42.01	-2.396	128.33	2010-05-14
123.73	3.597	-1.0	-47.27	-2.374	128.03	2010-05-17
124.03	3.475	0.3	-47.23	-2.307	127.77	2010-05-18
119.34	3.576	-4.69	-79.26	-2.601	127.23	2010-05-19
115.65	3.777	-3.69	-113.1	-3.097	126.48	2010-05-20
115.45	3.764	-0.2	-127.0	-3.466	125.77	2010-05-21
116.45	3.652	1.0	-106.1	-3.636	125.17	2010-05-24
112.06	3.798	-4.39	-143.4	-4.078	124.32	2010-05-25
115.45	3.804	3.39	-105.1	-4.107	123.75	2010-05-26
119.94	3.853	4.49	-42.16	-3.725	123.5	2010-05-27
121.04	3.757	1.1	6.057	-3.295	123.34	2010-05-28
120.34	3.673	-0.7	-9.761	-2.977	123.15	2010-06-01
119.64	3.56	-0.7	-13.15	-2.75	122.92	2010-06-02
120.64	3.527	1.0	28.27	-2.461	122.78	2010-06-03
118.15	3.625	-2.49	-10.32	-2.404	122.48	2010-06-04
116.55	3.559	-1.6	-72.62	-2.461	122.1	2010-06-07
115.45	3.526	-1.1	-79.15	-2.565	121.67	2010-06-08
116.75	3.424	1.3	-63.85	-2.513	121.35	2010-06-09
118.64	3.472	1.89	-26.05	-2.293	121.18	2010-06-10
116.75	3.516	-1.89	-32.67	-2.246	120.89	2010-06-11
117.95	3.407	1.2	-21.45	-2.087	120.7	2010-06-14
118.74	3.335	0.79	6.064	-1.876	120.57	2010-06-15
117.95	3.282	-0.79	22.76	-1.752	120.4	2010-06-16
117.75	3.175	-0.2	16.5	-1.651	120.23	2010-06-17
119.54	3.09	1.79	59.53	-1.411	120.19	2010-06-18
121.44	3.055	1.9	127.5	-1.054	120.27	2010-06-21
120.64	3.016	-0.8	84.74	-0.8271	120.29	2010-06-22
117.55	3.085	-3.09	-21.73	-0.886	120.12	2010-06-23
117.25	2.993	-0.3	-51.84	-0.9461	119.93	2010-06-24
115.15	2.979	-2.1	-118.6	-1.15	119.62	2010-06-25
113.86	2.987	-1.29	-160.4	-1.399	119.25	2010-06-28
109.07	3.13	-4.79	-286.0	-1.961	118.59	2010-06-29
107.67	3.134	-1.4	-269.0	-2.49	117.89	2010-06-30
103.08	3.267	-4.59	-291.3	-3.243	116.93	2010-07-01
103.48	3.226	0.4	-223.2	-3.764	116.07	2010-07-02
104.18	3.11	0.7	-166.7	-4.073	115.3	2010-07-05
105.17	3.022	0.99	-123.3	-4.19	114.65	2010-07-06
106.87	2.999	1.7	-91.94	-4.098	114.14	2010-07-07
110.56	3.055	3.69	-46.04	-3.685	113.91	2010-07-08
109.66	3.001	-0.9	-31.27	-3.391	113.64	2010-07-09
110.96	2.937	1.3	-23.32	-3.019	113.47	2010-07-12
113.76	2.984	2.8	4.227	-2.469	113.48	2010-07-13
113.46	3.013	-0.3	17.99	-2.034	113.48	2010-07-14
110.76	3.069	-2.7	-6.272	-1.886	113.31	2010-07-15
110.86	2.971	0.1	-5.763	-1.74	113.15	2010-07-16
107.97	3.108	-2.89	-35.88	-1.837	112.82	2010-07-19
103.88	3.257	-4.09	-85.99	-2.217	112.24	2010-07-20
105.77	3.288	1.89	-78.98	-2.34	111.82	2010-07-21
106.37	3.21	0.6	-55.78	-2.361	111.47	2010-07-22
109.26	3.337	2.89	-1.488	-2.121	111.33	2010-07-23
108.77	3.262	-0.49	24.27	-1.947	111.16	2010-07-26
104.28	3.385	-4.49	-59.99	-2.147	110.72	2010-07-27
103.18	3.393	-1.1	-106.5	-2.367	110.23	2010-07-28
107.07	3.557	3.89	-58.88	-2.202	110.03	2010-07-29
102.08	3.745	-4.99	-95.43	-2.445	109.52	2010-07-30
105.97	3.777	3.89	-77.49	-2.298	109.29	2010-08-02
105.97	3.649	0.0	-57.66	-2.157	109.07	2010-08-03
104.87	3.545	-1.1	-71.84	-2.109	108.8	2010-08-04
105.07	3.405	0.2	-58.84	-2.032	108.56	2010-08-05
104.18	3.368	-0.89	-53.82	-2.019	108.28	2010-08-06
105.27	3.22	1.09	-48.89	-1.899	108.08	2010-08-09
104.77	3.072	-0.5	-53.77	-1.823	107.87	2010-08-10
100.78	3.201	-3.99	-152.3	-2.061	107.41	2010-08-11
98.34	3.233	-2.44	-242.9	-2.419	106.83	2010-08-12
99.09	3.158	0.75	-217.5	-2.612	106.33	2010-08-13
97.94	3.086	-1.15	-193.1	-2.825	105.79	2010-08-16
99.89	3.051	1.95	-139.5	-2.804	105.41	2010-08-17
100.38	2.964	0.49	-95.53	-2.717	105.08	2010-08-18
99.14	2.948	-1.24	-93.34	-2.716	104.7	2010-08-19
96.34	2.988	-2.8	-130.6	-2.908	104.16	2010-08-20
95.59	2.877	-0.75	-146.5	-3.086	103.61	2010-08-23
93.2	2.871	-2.39	-162.2	-3.38	102.94	2010-08-24
91.65	2.876	-1.55	-164.4	-3.696	102.21	2010-08-25
92.85	2.796	1.2	-139.5	-3.805	101.6	2010-08-26
93.1	2.775	0.25	-115.9	-3.828	101.05	2010-08-27
93.6	2.766	0.5	-114.5	-3.762	100.57	2010-08-31
96.54	2.803	2.94	-55.54	-3.433	100.31	2010-09-01
97.04	2.76	0.5	-27.28	-3.096	100.1	2010-09-02
99.39	2.799	2.35	11.33	-2.609	100.06	2010-09-03
101.68	2.948	2.29	84.49	-2.016	100.16	2010-09-06
101.98	2.895	0.3	92.6	-1.504	100.28	2010-09-07
102.58	2.802	0.6	110.6	-1.037	100.43	2010-09-08
104.97	2.837	2.39	141.8	-0.4697	100.72	2010-09-09
