Close	ATR	Momentum	CCI	MACD	EMA	Times
18.77	0.7134	-0.31	-193.2	-0.773	20.63	2009-02-20
18.07	0.7317	-0.7	-195.6	-0.8427	20.46	2009-02-23
18.34	0.7273	0.27	-169.7	-0.8661	20.33	2009-02-24
17.71	0.7339	-0.63	-171.2	-0.9249	20.16	2009-02-25
17.53	0.7137	-0.18	-157.7	-0.9747	19.99	2009-02-26
17.42	0.7005	-0.11	-152.8	-1.011	19.82	2009-02-27
16.71	0.7041	-0.71	-162.1	-1.085	19.62	2009-03-02
16.45	0.6873	-0.26	-151.6	-1.152	19.42	2009-03-03
16.71	0.6775	0.26	-121.0	-1.17	19.24	2009-03-04
16.18	0.677	-0.53	-130.2	-1.213	19.04	2009-03-05
16.44	0.6601	0.26	-111.1	-1.212	18.88	2009-03-06
16.02	0.6536	-0.42	-109.9	-1.231	18.69	2009-03-09
17.4	0.7055	1.38	-60.72	-1.122	18.61	2009-03-10
17.52	0.6966	0.12	-27.15	-1.014	18.54	2009-03-11
17.83	0.7075	0.31	-15.8	-0.8931	18.49	2009-03-12
17.31	0.7063	-0.52	-19.69	-0.8298	18.42	2009-03-13
17.54	0.7058	0.23	3.417	-0.7523	18.36	2009-03-16
17.79	0.7018	0.25	5.57	-0.6631	18.32	2009-03-17
17.87	0.7131	0.08	32.39	-0.5793	18.29	2009-03-18
17.51	0.7043	-0.36	34.56	-0.5358	18.24	2009-03-19
17.29	0.7005	-0.22	20.99	-0.5131	18.18	2009-03-20
18.55	0.7426	1.26	122.9	-0.389	18.21	2009-03-23
18.43	0.7217	-0.12	149.0	-0.2968	18.22	2009-03-24
18.64	0.7308	0.21	156.7	-0.2045	18.25	2009-03-25
19.4	0.7408	0.76	189.2	-0.06927	18.32	2009-03-26
18.98	0.7243	-0.42	154.9	0.003995	18.36	2009-03-27
18.17	0.744	-0.81	70.75	-0.003262	18.35	2009-03-30
18.34	0.7294	0.17	73.72	0.004651	18.35	2009-03-31
18.72	0.7423	0.38	74.05	0.04111	18.37	2009-04-01
19.6	0.7764	0.88	153.9	0.1394	18.45	2009-04-02
19.47	0.7624	-0.13	132.9	0.2045	18.52	2009-04-03
19.76	0.7608	0.29	129.5	0.2762	18.6	2009-04-06
19.27	0.75	-0.49	102.5	0.2902	18.64	2009-04-07
19.04	0.7422	-0.23	62.84	0.2795	18.67	2009-04-08
20.17	0.7763	1.13	141.0	0.3581	18.77	2009-04-09
19.79	0.7737	-0.38	104.1	0.3853	18.83	2009-04-13
19.43	0.7556	-0.36	71.01	0.3735	18.87	2009-04-14
19.95	0.7595	0.52	95.56	0.4014	18.94	2009-04-15
20.26	0.7638	0.31	117.1	0.4435	19.02	2009-04-16
20.19	0.7392	-0.07	131.3	0.4658	19.1	2009-04-17
19.54	0.7422	-0.65	49.53	0.4261	19.13	2009-04-20
20.47	0.782	0.93	141.3	0.4644	19.21	2009-04-21
20.0	0.7747	-0.47	103.2	0.4516	19.27	2009-04-22
20.49	0.7772	0.49	100.8	0.4755	19.34	2009-04-23
21.06	0.7774	0.57	160.0	0.5342	19.46	2009-04-24
20.67	0.7583	-0.39	126.7	0.5431	19.53	2009-04-27
20.46	0.7413	-0.21	84.04	0.5271	19.59	2009-04-28
