Close	ATR	Momentum	CCI	MACD	EMA	Times
123.66	2.816	-1.27	167.6	4.637	111.48	2010-08-16
123.56	2.757	-0.1	148.2	4.806	112.26	2010-08-17
123.42	2.775	-0.14	119.6	4.872	112.98	2010-08-18
123.02	2.733	-0.4	107.5	4.836	113.63	2010-08-19
122.05	2.698	-0.97	92.05	4.676	114.17	2010-08-20
123.76	2.723	1.71	87.16	4.633	114.79	2010-08-23
124.83	2.694	1.07	89.39	4.633	115.44	2010-08-24
123.81	2.624	-1.02	79.3	4.498	115.98	2010-08-25
125.62	2.625	1.81	88.11	4.485	116.6	2010-08-26
122.9	2.718	-2.72	60.35	4.207	117.0	2010-08-27
121.23	2.646	-1.6	10.67	3.551	117.63	2010-08-31
121.75	2.605	0.52	2.893	3.251	117.89	2010-09-01
120.93	2.591	-0.82	0.1607	2.913	118.09	2010-09-02
121.61	2.525	0.68	-8.784	2.669	118.32	2010-09-03
124.33	2.592	-1.01	78.04	2.693	119.13	2010-09-07
126.9	2.726	2.57	141.8	2.826	119.63	2010-09-08
130.77	2.863	3.87	306.7	3.207	120.35	2010-09-09
137.99	3.261	7.22	394.1	4.045	121.49	2010-09-13
136.52	3.296	-1.47	272.9	4.538	122.46	2010-09-14
134.2	3.304	-2.32	172.7	4.688	123.21	2010-09-15
135.92	3.327	1.72	152.2	4.889	124.03	2010-09-16
135.66	3.235	-0.26	125.0	4.97	124.78	2010-09-17
136.25	3.238	0.59	110.7	5.024	125.52	2010-09-20
136.11	3.145	-0.14	93.93	4.998	126.21	2010-09-21
139.43	2.852	1.57	85.77	5.002	129.04	2010-09-27
139.88	2.97	0.45	75.8	4.995	129.74	2010-09-28
140.05	2.878	0.17	86.27	4.947	130.4	2010-09-29
141.76	2.967	1.71	95.18	4.988	131.13	2010-09-30
142.28	2.701	1.24	82.34	4.348	134.77	2010-10-08
142.9	2.585	0.62	95.06	4.227	135.3	2010-10-11
141.7	2.583	-1.2	57.1	3.988	135.71	2010-10-12
144.91	2.684	3.21	106.8	4.011	136.3	2010-10-13
143.06	2.715	-1.85	96.21	3.837	136.74	2010-10-14
138.76	2.912	-4.3	-14.08	3.313	136.87	2010-10-15
138.86	2.933	0.1	-58.96	2.873	137.0	2010-10-18
136.86	3.014	-2.0	-104.3	2.336	136.99	2010-10-19
