Close	ATR	Momentum	CCI	MACD	EMA	Times
221.49	5.081	-5.07	71.22	6.446	212.38	2010-01-06
223.86	5.056	2.37	62.05	6.259	213.12	2010-01-07
225.72	4.997	1.86	71.51	6.19	213.93	2010-01-08
223.01	5.123	-2.71	66.23	5.849	214.52	2010-01-11
220.65	5.131	-2.36	26.56	5.327	214.91	2010-01-12
226.56	5.211	5.91	60.88	5.329	215.66	2010-01-13
229.95	5.177	3.39	111.0	5.54	216.58	2010-01-14
227.41	5.206	-2.54	104.2	5.439	217.28	2010-01-15
226.56	5.161	-0.85	78.86	5.231	217.88	2010-01-18
229.61	5.215	3.05	89.68	5.251	218.64	2010-01-19
226.23	5.181	-3.38	67.73	4.938	219.13	2010-01-20
218.45	5.499	-7.78	-96.15	4.015	219.08	2010-01-21
214.56	5.566	-3.89	-251.6	2.936	218.79	2010-01-22
214.39	5.422	-0.17	-211.3	2.044	218.51	2010-01-25
212.36	5.3	-2.03	-211.7	1.16	218.11	2010-01-26
212.19	5.26	-0.17	-184.6	0.4401	217.73	2010-01-27
212.36	5.235	0.17	-119.3	-0.1151	217.38	2010-01-28
210.67	5.175	-1.69	-126.9	-0.6836	216.95	2010-01-29
204.75	5.312	-5.92	-161.8	-1.594	216.16	2010-02-01
207.46	5.367	2.71	-134.9	-2.072	215.6	2010-02-02
203.91	5.31	-3.55	-125.7	-2.707	214.85	2010-02-03
196.97	5.535	-6.94	-149.4	-3.726	213.69	2010-02-04
189.87	5.972	-7.1	-192.9	-5.049	212.16	2010-02-05
191.06	5.835	1.19	-158.3	-5.933	210.8	2010-02-08
189.37	5.684	-1.69	-146.4	-6.693	209.41	2010-02-09
193.93	5.688	4.56	-113.1	-6.849	208.41	2010-02-10
191.9	5.777	-2.03	-99.77	-7.054	207.35	2010-02-11
188.69	5.799	-3.21	-104.7	-7.391	206.15	2010-02-12
189.03	5.53	0.34	-98.1	-7.543	205.04	2010-02-15
193.42	5.46	4.39	-72.64	-7.227	204.29	2010-02-16
199.51	5.59	6.09	-24.76	-6.41	203.98	2010-02-17
202.22	5.468	2.71	2.571	-5.481	203.87	2010-02-18
201.88	5.32	-0.34	5.271	-4.718	203.74	2010-02-19
202.72	5.121	0.84	24.84	-4.0	203.67	2010-02-22
201.37	5.058	-1.35	26.27	-3.499	203.53	2010-02-23
202.89	5.023	1.52	31.14	-2.945	203.49	2010-02-24
197.48	5.111	-5.41	13.94	-2.91	203.1	2010-02-25
202.22	5.108	4.74	42.48	-2.47	203.04	2010-02-26
206.27	5.081	4.05	100.8	-1.775	203.25	2010-03-01
206.95	4.972	0.68	120.5	-1.156	203.49	2010-03-02
208.98	4.882	2.03	132.1	-0.4955	203.84	2010-03-03
221.49	5.609	12.51	206.8	1.025	204.98	2010-03-04
236.03	6.295	14.54	290.3	3.365	206.98	2010-03-05
234.68	6.256	-1.35	248.1	5.052	208.77	2010-03-08
234.68	6.184	0.0	185.5	6.317	210.44	2010-03-09
229.13	6.223	-5.55	130.3	6.792	211.65	2010-03-10
226.26	5.983	-2.87	98.44	6.859	212.59	2010-03-11
229.98	5.894	3.72	92.56	7.129	213.71	2010-03-12
229.98	5.618	0.0	84.98	7.26	214.76	2010-03-15
232.35	5.422	2.37	83.93	7.469	215.9	2010-03-16
233.7	5.3	1.35	83.9	7.655	217.05	2010-03-17
232.69	5.103	-1.01	73.0	7.633	218.05	2010-03-18
235.9	5.173	3.21	80.18	7.785	219.21	2010-03-19
236.41	5.069	0.51	71.17	7.856	220.32	2010-03-22
236.74	5.057	0.33	73.11	7.848	221.38	2010-03-23
235.22	4.997	-1.52	65.86	7.632	222.27	2010-03-24
236.24	4.87	1.02	66.69	7.456	223.17	2010-03-25
235.9	4.643	-0.34	62.4	7.207	223.99	2010-03-26
236.74	4.505	0.84	68.85	6.996	224.81	2010-03-29
239.11	4.377	2.37	93.3	6.941	225.74	2010-03-30
237.93	4.366	-1.18	95.14	6.724	226.52	2010-03-31
241.99	4.404	4.06	155.7	6.801	227.52	2010-04-01
244.86	4.306	2.87	194.0	7.013	228.64	2010-04-06
243.34	4.216	-1.52	162.0	6.978	229.59	2010-04-07
243.34	4.108	0.0	132.8	6.871	230.48	2010-04-08
242.83	4.068	-0.51	123.2	6.668	231.27	2010-04-09
242.83	3.982	0.0	108.6	6.434	232.02	2010-04-12
239.11	4.085	-3.72	50.83	5.88	232.48	2010-04-13
241.14	3.95	2.03	44.93	5.54	233.03	2010-04-14
240.97	3.813	-0.17	49.36	5.198	233.55	2010-04-15
238.6	3.916	-2.37	25.45	4.681	233.87	2010-04-16
237.08	3.805	-1.52	-51.86	4.102	234.08	2010-04-19
238.1	3.739	1.02	-33.46	3.683	234.34	2010-04-20
237.42	3.652	-0.68	-58.64	3.258	234.54	2010-04-21
236.74	3.766	-0.68	-68.6	2.834	234.68	2010-04-22
237.25	3.787	0.51	-38.7	2.51	234.85	2010-04-23
238.77	3.927	1.52	-30.99	2.349	235.1	2010-04-26
232.69	4.081	-6.08	-151.5	1.711	234.94	2010-04-27
230.99	4.212	-1.7	-214.7	1.056	234.69	2010-04-28
235.56	4.371	4.57	-129.3	0.8952	234.74	2010-04-29
234.88	4.433	-0.68	-80.58	0.7049	234.75	2010-04-30
229.47	4.78	-5.41	-148.0	0.1162	234.41	2010-05-04
221.36	5.175	-8.11	-244.5	-0.9933	233.57	2010-05-05
234.88	6.678	13.52	-116.1	-0.7727	233.65	2010-05-06
224.74	7.239	-10.14	-165.4	-1.4	233.08	2010-05-07
237.93	7.724	13.19	-15.82	-0.8233	233.39	2010-05-10
236.74	7.596	-1.19	-0.4959	-0.457	233.61	2010-05-11
240.13	7.766	3.39	75.11	0.1056	234.03	2010-05-12
243.17	7.538	3.04	118.9	0.7877	234.62	2010-05-13
235.39	7.627	-7.78	40.45	0.6925	234.67	2010-05-14
230.49	7.493	-4.9	-55.19	0.2191	234.4	2010-05-17
233.87	7.283	3.38	-27.0	0.1154	234.37	2010-05-18
226.43	7.355	-7.44	-115.0	-0.5607	233.85	2010-05-19
223.38	7.459	-3.05	-158.9	-1.327	233.18	2010-05-20
221.69	7.409	-1.69	-180.5	-2.048	232.44	2010-05-21
218.48	7.387	-3.21	-161.3	-2.845	231.54	2010-05-24
211.89	7.427	-6.59	-209.8	-3.962	230.27	2010-05-25
217.13	7.428	5.24	-136.7	-4.375	229.42	2010-05-26
227.27	7.622	10.14	-50.9	-3.84	229.28	2010-05-27
224.74	7.379	-2.53	-30.59	-3.578	228.99	2010-05-28
225.75	7.299	1.01	-38.62	-3.252	228.78	2010-06-01
226.6	7.213	0.85	-25.06	-2.891	228.64	2010-06-02
229.81	7.144	3.21	26.94	-2.32	228.71	2010-06-03
226.77	7.177	-3.04	0.7361	-2.088	228.59	2010-06-04
220.85	7.088	-5.92	-52.25	-2.355	228.09	2010-06-07
218.82	7.076	-2.03	-78.14	-2.7	227.49	2010-06-08
221.52	6.909	2.7	-65.94	-2.723	227.11	2010-06-09
223.72	6.826	2.2	-40.38	-2.535	226.89	2010-06-10
224.4	6.568	0.68	-7.21	-2.305	226.73	2010-06-11
228.63	6.436	4.23	68.78	-1.76	226.85	2010-06-14
230.83	6.436	2.2	102.7	-1.138	227.11	2010-06-15
223.22	6.556	-7.61	25.55	-1.245	226.86	2010-06-16
222.03	6.402	-1.19	-6.178	-1.41	226.55	2010-06-17
220.17	6.222	-1.86	-43.45	-1.671	226.13	2010-06-18
223.38	6.116	3.21	5.364	-1.6	225.96	2010-06-21
223.05	5.933	-0.33	-20.45	-1.553	225.77	2010-06-22
219.33	5.883	-3.72	-69.76	-1.795	225.35	2010-06-23
216.28	5.922	-3.05	-161.4	-2.208	224.77	2010-06-24
215.61	5.728	-0.67	-164.1	-2.559	224.18	2010-06-25
214.93	5.597	-0.68	-165.9	-2.86	223.58	2010-06-28
210.19	5.536	-4.74	-199.3	-3.441	222.72	2010-06-29
205.12	5.551	-5.07	-224.5	-4.261	221.58	2010-06-30
195.14	5.976	-9.98	-279.9	-5.651	219.88	2010-07-01
195.14	5.863	0.0	-224.3	-6.676	218.28	2010-07-02
197.34	5.699	2.2	-169.9	-7.228	216.93	2010-07-05
203.6	5.883	6.26	-111.6	-7.078	216.07	2010-07-06
201.57	5.922	-2.03	-103.6	-7.042	215.13	2010-07-07
208.0	6.018	6.43	-52.98	-6.42	214.67	2010-07-08
207.32	5.854	-0.68	-44.19	-5.915	214.2	2010-07-09
207.15	5.702	-0.17	-36.66	-5.464	213.74	2010-07-12
211.04	5.657	3.89	-12.91	-4.739	213.57	2010-07-13
208.5	5.555	-2.54	-14.85	-4.32	213.24	2010-07-14
205.46	5.473	-3.04	-30.93	-4.184	212.74	2010-07-15
203.09	5.396	-2.37	-43.99	-4.219	212.12	2010-07-16
201.74	5.422	-1.35	-52.45	-4.307	211.45	2010-07-19
201.91	5.288	0.17	-65.33	-4.312	210.83	2010-07-20
208.17	5.429	6.26	11.91	-3.768	210.66	2010-07-21
209.52	5.247	1.35	52.64	-3.191	210.59	2010-07-22
210.19	5.174	0.67	82.08	-2.65	210.56	2010-07-23
210.7	4.997	0.51	96.76	-2.154	210.57	2010-07-26
215.61	5.015	4.91	150.0	-1.35	210.9	2010-07-27
215.94	4.826	0.33	156.6	-0.678	211.22	2010-07-28
217.47	4.819	1.53	166.2	-0.02182	211.62	2010-07-29
217.8	4.958	0.33	141.5	0.5189	212.02	2010-07-30
225.58	5.219	7.78	199.1	1.557	212.9	2010-08-02
225.08	5.064	-0.5	182.6	2.313	213.68	2010-08-03
226.26	5.088	1.18	158.0	2.973	214.49	2010-08-04
234.21	5.522	7.95	188.0	4.09	215.77	2010-08-05
231.84	5.78	-2.37	165.4	4.73	216.8	2010-08-06
