Close	ATR	Momentum	CCI	MACD	EMA	Times
326.35	10.4	-8.08	127.5	0.5612	324.7	2010-01-06
326.45	10.06	0.1	66.1	0.6552	324.82	2010-01-07
326.92	9.951	0.47	56.0	0.7588	324.95	2010-01-08
333.29	9.92	6.37	130.9	1.34	325.49	2010-01-11
324.07	10.01	-9.22	41.41	1.044	325.4	2010-01-12
323.12	9.745	-0.95	8.218	0.7244	325.25	2010-01-13
316.76	9.918	-6.36	-49.58	-0.0415	324.7	2010-01-14
314.57	9.977	-2.19	-80.32	-0.8158	324.05	2010-01-15
320.75	9.936	6.18	-40.67	-0.9201	323.84	2010-01-18
319.89	9.647	-0.86	-55.9	-1.06	323.58	2010-01-19
313.33	9.739	-6.56	-100.5	-1.681	322.92	2010-01-20
309.34	9.987	-3.99	-128.2	-2.466	322.04	2010-01-21
302.4	10.06	-6.94	-204.8	-3.607	320.78	2010-01-22
300.31	9.906	-2.09	-197.2	-4.627	319.46	2010-01-25
307.06	9.877	6.75	-149.2	-4.834	318.66	2010-01-26
305.07	9.532	-1.99	-125.1	-5.101	317.78	2010-01-27
301.74	9.347	-3.33	-112.5	-5.517	316.75	2010-01-28
298.41	9.324	-3.33	-121.4	-6.046	315.56	2010-01-29
296.99	9.201	-1.42	-121.7	-6.504	314.36	2010-02-01
304.21	9.331	7.22	-88.69	-6.214	313.71	2010-02-02
303.83	9.005	-0.38	-60.66	-5.945	313.07	2010-02-03
298.6	9.041	-5.23	-78.83	-6.085	312.14	2010-02-04
289.86	9.284	-8.74	-130.0	-6.822	310.7	2010-02-05
285.77	9.3	-4.09	-149.7	-7.648	309.09	2010-02-08
287.29	9.083	1.52	-140.0	-8.086	307.69	2010-02-09
293.95	9.27	6.66	-92.41	-7.807	306.8	2010-02-10
289.0	9.3	-4.95	-105.5	-7.893	305.65	2010-02-11
287.86	8.982	-1.14	-111.1	-7.962	304.5	2010-02-12
289.48	8.504	1.62	-97.33	-7.796	303.53	2010-02-15
295.47	8.399	5.99	-40.04	-7.1	303.01	2010-02-16
304.69	8.545	9.22	45.32	-5.737	303.12	2010-02-17
308.68	8.342	3.99	110.3	-4.286	303.48	2010-02-18
306.87	8.18	-1.81	103.6	-3.245	303.7	2010-02-19
308.68	7.949	1.81	109.9	-2.248	304.02	2010-02-22
308.77	7.728	0.09	108.9	-1.434	304.33	2010-02-23
308.87	7.61	0.1	92.12	-0.7718	304.62	2010-02-24
305.16	7.826	-3.71	78.78	-0.5402	304.65	2010-02-25
302.88	8.157	-2.28	51.33	-0.5345	304.54	2010-02-26
307.06	8.002	4.18	67.33	-0.1905	304.7	2010-03-01
318.18	8.415	11.12	117.3	0.9683	305.57	2010-03-02
322.46	8.2	4.28	157.4	2.207	306.66	2010-03-03
324.36	8.008	1.9	152.9	3.303	307.8	2010-03-04
324.17	7.802	-0.19	144.3	4.109	308.86	2010-03-05
321.7	7.693	-2.47	123.3	4.497	309.69	2010-03-08
317.04	7.591	-4.66	88.75	4.378	310.16	2010-03-09
318.47	7.321	1.43	69.76	4.349	310.7	2010-03-10
314.09	7.315	-4.38	42.47	3.927	310.92	2010-03-11
315.04	7.416	0.95	33.55	3.628	311.18	2010-03-12
315.04	7.186	0.0	36.45	3.352	311.43	2010-03-15
314.95	7.352	-0.09	0.1342	3.09	311.66	2010-03-16
312.67	7.146	-2.28	-0.368	2.668	311.72	2010-03-17
311.72	6.955	-0.95	-24.33	2.231	311.72	2010-03-18
302.98	7.259	-8.74	-107.0	1.167	311.16	2010-03-19
301.26	7.005	-1.72	-153.9	0.1818	310.52	2010-03-22
301.26	6.831	0.0	-133.3	-0.5919	309.92	2010-03-23
302.21	6.636	0.95	-123.4	-1.116	309.43	2010-03-24
305.73	6.576	3.52	-79.19	-1.232	309.19	2010-03-25
308.87	6.575	3.14	-47.32	-1.059	309.17	2010-03-26
