Close	ATR	Momentum	CCI	MACD	EMA	Times
1758.59	36.64	-5.46	-123.2	0.8622	1778.46	2010-08-16
1789.86	36.93	31.27	-41.04	1.636	1779.2	2010-08-17
1775.47	35.82	-14.39	-45.52	1.076	1778.95	2010-08-18
1726.84	37.97	-48.63	-152.1	-3.255	1775.59	2010-08-19
1711.45	37.81	-15.39	-206.5	-7.838	1771.45	2010-08-20
1723.86	37.49	12.41	-180.3	-10.35	1768.38	2010-08-23
1706.49	37.26	-17.37	-176.7	-13.59	1764.39	2010-08-24
1690.12	36.79	-16.37	-179.0	-17.27	1759.6	2010-08-25
1698.55	35.76	8.43	-139.6	-19.29	1755.66	2010-08-26
1722.87	35.61	24.32	-89.3	-18.71	1753.54	2010-08-27
1719.89	36.26	-2.98	-86.74	-18.28	1751.37	2010-08-31
1765.54	37.5	45.65	-7.878	-14.1	1752.29	2010-09-01
1775.47	36.45	9.93	43.98	-9.865	1753.78	2010-09-02
1799.78	36.72	24.31	94.49	-4.497	1756.75	2010-09-03
1789.36	35.71	-23.82	79.85	3.091	1762.26	2010-09-07
1800.77	35.5	11.41	88.84	5.739	1764.74	2010-09-08
1814.67	34.66	13.9	110.7	8.857	1767.97	2010-09-09
1849.4	33.65	20.84	146.3	16.53	1776.88	2010-09-13
1851.88	32.73	2.48	130.5	19.85	1781.72	2010-09-14
1846.92	31.74	-4.96	115.6	21.83	1785.92	2010-09-15
1866.27	31.42	19.35	117.1	24.68	1791.11	2010-09-16
1849.4	32.19	-16.87	106.7	25.28	1794.87	2010-09-17
1888.6	33.05	39.2	118.6	28.59	1800.91	2010-09-20
1880.66	32.5	-7.94	117.2	30.22	1806.06	2010-09-21
1896.54	32.67	3.97	99.05	32.79	1824.87	2010-09-27
1899.52	32.71	2.98	87.39	33.24	1829.69	2010-09-28
1896.05	33.07	-3.47	97.7	32.93	1833.97	2010-09-29
1901.5	34.32	5.45	112.6	32.74	1838.33	2010-09-30
1950.13	32.59	-5.96	138.7	38.03	1871.27	2010-10-08
1957.08	31.32	6.95	136.8	38.37	1876.81	2010-10-11
1944.18	31.36	-12.9	84.0	37.17	1881.15	2010-10-12
1980.9	32.2	36.72	147.1	38.74	1887.59	2010-10-13
1972.46	32.1	-8.44	123.6	38.85	1893.06	2010-10-14
1964.52	31.33	-7.94	103.0	37.86	1897.67	2010-10-15
1990.82	31.82	26.3	121.2	38.76	1903.68	2010-10-18
1970.48	31.28	-20.34	91.69	37.39	1907.99	2010-10-19
1974.45	30.36	3.97	76.81	36.21	1912.28	2010-10-20
1980.4	30.32	5.95	91.56	35.35	1916.68	2010-10-21
1986.85	29.71	6.45	90.92	34.79	1921.2	2010-10-22
1988.84	29.11	1.99	113.9	34.11	1925.57	2010-10-25
1979.91	28.38	-8.93	64.93	32.47	1929.07	2010-10-26
1962.04	27.81	-17.87	29.72	29.4	1931.2	2010-10-27
1971.97	27.98	9.93	58.93	27.45	1933.83	2010-10-28
2010.67	29.53	38.7	137.3	28.69	1938.79	2010-10-29
2028.04	29.58	17.37	228.0	30.73	1944.55	2010-11-01
2084.61	31.93	56.57	317.2	36.48	1953.58	2010-11-02
2046.66	32.75	-37.95	206.6	37.55	1959.59	2010-11-03
2073.96	33.43	27.3	199.2	40.13	1966.97	2010-11-04
2043.19	32.43	-25.31	100.9	39.66	1978.01	2010-11-08
