Close	ATR	Momentum	CCI	MACD	EMA	Times
518.96	11.3	-7.3	179.3	2.813	505.21	2010-01-06
485.56	13.19	-33.4	-70.1	0.8227	503.94	2010-01-07
473.38	13.68	-12.18	-152.2	-1.718	501.97	2010-01-08
478.25	13.73	4.87	-129.8	-3.3	500.44	2010-01-11
479.53	13.53	1.28	-140.8	-4.4	499.09	2010-01-12
480.45	12.94	0.92	-116.0	-5.138	497.89	2010-01-13
480.11	12.55	-0.34	-100.0	-5.685	496.74	2010-01-14
475.47	12.52	-4.64	-110.0	-6.419	495.37	2010-01-15
477.79	12.01	2.32	-96.13	-6.735	494.23	2010-01-18
477.79	11.75	0.0	-87.81	-6.907	493.17	2010-01-19
468.74	11.85	-9.05	-95.14	-7.684	491.6	2010-01-20
470.25	11.63	1.51	-88.23	-8.085	490.22	2010-01-21
466.54	11.3	-3.71	-93.71	-8.604	488.69	2010-01-22
464.68	10.93	-1.86	-93.8	-9.06	487.14	2010-01-25
471.87	11.03	7.19	-76.01	-8.74	486.16	2010-01-26
472.1	10.87	0.23	-66.14	-8.372	485.25	2010-01-27
450.77	11.67	-21.33	-118.0	-9.69	483.02	2010-01-28
459.58	12.58	8.81	-83.93	-9.909	481.51	2010-01-29
459.7	12.32	0.12	-116.9	-9.958	480.11	2010-02-01
473.5	12.9	13.8	-55.97	-8.783	479.68	2010-02-02
474.66	12.63	1.16	19.88	-7.669	479.36	2010-02-03
476.05	12.64	1.39	50.18	-6.598	479.14	2010-02-04
471.18	12.76	-4.87	-17.86	-6.072	478.63	2010-02-05
469.79	12.6	-1.39	-22.66	-5.702	478.06	2010-02-08
462.48	12.58	-7.31	-77.76	-5.93	477.05	2010-02-09
465.49	12.3	3.01	-54.8	-5.801	476.31	2010-02-10
475.47	12.15	9.98	48.01	-4.838	476.25	2010-02-11
481.15	11.79	5.68	152.7	-3.575	476.57	2010-02-12
475.7	11.81	-5.45	114.2	-2.979	476.51	2010-02-15
481.27	11.59	5.57	135.0	-2.034	476.82	2010-02-16
486.95	11.34	5.68	200.1	-0.8179	477.47	2010-02-17
490.66	10.97	3.71	182.0	0.4405	478.32	2010-02-18
494.95	10.75	4.29	181.8	1.764	479.4	2010-02-19
494.14	10.45	-0.81	176.2	2.716	480.35	2010-02-22
487.18	11.52	-6.96	69.99	2.875	480.79	2010-02-23
487.88	11.18	0.7	92.79	3.023	481.25	2010-02-24
488.34	10.68	0.46	83.78	3.142	481.7	2010-02-25
488.34	10.55	0.0	79.75	3.199	482.13	2010-02-26
502.72	10.82	14.38	136.3	4.354	483.46	2010-03-01
505.62	10.54	2.9	162.4	5.441	484.89	2010-03-02
512.58	10.57	6.96	165.0	6.785	486.68	2010-03-03
512.69	10.33	0.11	158.4	7.77	488.35	2010-03-04
528.23	10.99	15.54	208.1	9.693	490.93	2010-03-05
532.99	10.76	4.76	198.9	11.47	493.64	2010-03-08
526.03	10.99	-6.96	155.6	12.17	495.73	2010-03-09
525.22	10.74	-0.81	121.8	12.52	497.63	2010-03-10
529.39	10.52	4.17	115.3	12.99	499.68	2010-03-11
541.57	10.93	12.18	134.2	14.17	502.38	2010-03-12
531.48	11.04	-10.09	102.4	14.14	504.26	2010-03-15
539.95	11.46	8.47	100.5	14.62	506.56	2010-03-16
534.26	11.42	-5.69	89.62	14.38	508.35	2010-03-17
533.57	11.26	-0.69	64.37	13.98	509.98	2010-03-18
524.52	11.4	-9.05	46.98	12.78	510.92	2010-03-19
520.46	11.33	-4.06	8.017	11.37	511.53	2010-03-22
524.99	11.32	4.53	20.21	10.49	512.4	2010-03-23
522.32	11.17	-2.67	18.11	9.478	513.04	2010-03-24
527.07	11.11	4.75	31.49	8.953	513.95	2010-03-25
534.03	10.98	6.96	59.13	8.994	515.24	2010-03-26
527.54	10.9	-6.49	22.61	8.407	516.03	2010-03-29
525.91	10.38	-1.63	-21.39	7.721	516.67	2010-03-30
526.73	10.46	0.82	-22.02	7.16	517.32	2010-03-31
534.61	10.44	7.88	54.05	7.268	518.44	2010-04-01
530.55	10.31	-4.06	56.65	6.946	519.22	2010-04-06
542.15	10.51	11.6	138.6	7.54	520.7	2010-04-07
538.79	10.4	-3.36	114.8	7.652	521.86	2010-04-08
536.93	10.07	-1.86	80.69	7.503	522.84	2010-04-09
540.06	9.813	3.13	118.8	7.551	523.95	2010-04-12
533.57	9.575	-6.49	48.94	6.985	524.57	2010-04-13
532.64	9.479	-0.93	28.92	6.388	525.09	2010-04-14
526.84	9.473	-5.8	-34.51	5.384	525.2	2010-04-15
518.38	9.525	-8.46	-133.8	3.862	524.76	2010-04-16
519.54	9.557	1.16	-148.2	2.717	524.43	2010-04-19
520.0	9.694	0.46	-89.04	1.827	524.14	2010-04-20
516.17	9.481	-3.83	-128.4	0.8024	523.63	2010-04-21
511.77	9.359	-4.4	-174.6	-0.3602	522.86	2010-04-22
516.75	9.154	4.98	-122.9	-0.8697	522.47	2010-04-23
521.16	8.996	4.41	-71.68	-0.9072	522.38	2010-04-26
512.46	9.166	-8.7	-94.25	-1.62	521.74	2010-04-27
503.42	9.621	-9.04	-168.9	-2.882	520.56	2010-04-28
530.9	11.0	27.48	-24.51	-1.645	521.23	2010-04-29
529.74	10.82	-1.16	28.67	-0.7497	521.78	2010-04-30
525.33	11.14	-4.41	27.91	-0.3916	522.01	2010-05-04
511.42	11.64	-13.91	-74.5	-1.216	521.32	2010-05-05
501.44	11.65	-9.98	-138.5	-2.644	520.04	2010-05-06
491.94	12.47	-9.5	-177.5	-4.491	518.23	2010-05-07
511.42	13.23	19.48	-86.81	-4.333	517.79	2010-05-10
509.21	12.9	-2.21	-83.83	-4.336	517.23	2010-05-11
515.36	12.75	6.15	-36.27	-3.798	517.11	2010-05-12
528.7	13.27	13.34	100.3	-2.269	517.86	2010-05-13
