Close	ATR	Momentum	CCI	MACD	EMA	Times
271.46	5.456	-0.84	24.46	5.981	263.92	2010-08-16
270.3	5.855	-1.16	40.03	5.435	264.33	2010-08-17
276.05	5.968	5.75	67.62	5.403	265.08	2010-08-18
277.07	5.834	1.02	113.0	5.398	265.86	2010-08-19
275.51	5.807	-1.56	84.54	5.209	266.48	2010-08-20
275.57	5.697	0.06	67.38	5.006	267.07	2010-08-23
276.08	5.639	0.51	81.14	4.83	267.65	2010-08-24
276.73	5.523	0.65	81.36	4.689	268.23	2010-08-25
277.73	5.471	1.0	61.0	4.605	268.85	2010-08-26
271.9	5.601	-5.83	-20.78	4.022	269.04	2010-08-27
268.12	5.659	-0.89	-199.8	2.606	268.98	2010-08-31
272.36	5.618	4.24	-81.25	2.379	269.2	2010-09-01
268.03	5.751	-4.33	-100.2	1.829	269.12	2010-09-02
266.04	5.719	-1.99	-149.3	1.218	268.93	2010-09-03
276.19	5.832	5.13	54.04	1.451	269.52	2010-09-07
278.59	6.349	2.4	55.42	1.88	270.11	2010-09-08
277.02	6.189	-1.57	104.2	2.07	270.55	2010-09-09
279.5	6.111	2.48	128.6	2.392	271.13	2010-09-13
284.1	6.177	4.6	164.6	2.985	271.97	2010-09-14
290.28	6.254	6.18	238.0	3.908	273.15	2010-09-15
284.47	6.27	-5.81	162.2	4.124	273.88	2010-09-16
289.92	6.295	5.45	169.4	4.68	274.91	2010-09-17
289.31	6.174	-0.61	158.3	5.014	275.84	2010-09-20
302.72	6.787	13.41	204.1	6.288	277.58	2010-09-21
294.64	8.107	-1.31	127.6	6.944	281.87	2010-09-27
292.44	7.861	-2.2	59.57	6.592	282.55	2010-09-28
292.67	7.802	0.23	60.29	6.26	283.2	2010-09-29
293.13	7.53	0.46	48.67	5.965	283.84	2010-09-30
299.16	7.819	-2.42	45.25	6.566	290.06	2010-10-08
298.91	7.956	-0.25	32.53	6.125	290.63	2010-10-11
301.58	7.752	2.67	58.58	5.923	291.34	2010-10-12
315.32	8.275	13.74	179.7	6.793	292.89	2010-10-13
313.19	8.145	-2.13	208.5	7.228	294.2	2010-10-14
302.17	9.038	-11.02	100.3	6.607	294.71	2010-10-15
311.17	9.55	9.0	73.26	6.763	295.77	2010-10-18
307.31	9.368	-3.86	102.5	6.5	296.52	2010-10-19
306.39	9.228	-0.92	66.67	6.147	297.15	2010-10-20
312.6	9.197	6.21	116.9	6.295	298.15	2010-10-21
330.48	10.04	17.88	271.6	7.766	300.24	2010-10-22
337.96	10.06	7.48	256.9	9.427	302.67	2010-10-25
336.88	9.948	-1.08	204.6	10.53	304.88	2010-10-26
333.65	9.704	-3.23	161.9	11.02	306.73	2010-10-27
334.45	9.485	0.8	135.5	11.35	308.52	2010-10-28
334.19	9.456	-0.26	104.2	11.45	310.18	2010-10-29
336.19	9.213	2.0	105.6	11.56	311.86	2010-11-01
334.58	8.945	-1.61	86.16	11.38	313.32	2010-11-02
335.84	8.982	1.26	89.33	11.22	314.77	2010-11-03
341.12	8.921	5.28	92.23	11.38	316.47	2010-11-04
340.75	8.694	-0.37	86.32	11.35	318.04	2010-11-08
348.42	8.779	7.67	103.8	11.81	320.0	2010-11-09
348.36	8.607	-0.06	112.2	12.03	321.83	2010-11-10
339.66	8.739	-8.7	69.29	11.37	322.98	2010-11-11
337.24	8.593	-2.42	41.98	10.53	323.9	2010-11-12
339.2	8.544	1.96	53.33	9.908	324.89	2010-11-15
334.75	8.615	-4.45	18.55	8.954	325.52	2010-11-16
332.46	8.66	-2.29	-0.04155	7.921	325.97	2010-11-18
324.74	8.995	-7.72	-126.0	6.406	325.89	2010-11-19
332.03	9.093	7.29	-123.2	5.728	326.29	2010-11-22
329.22	9.127	-2.81	-132.4	4.907	326.48	2010-11-23
322.23	9.206	-6.99	-181.1	3.65	326.2	2010-11-24
333.46	9.227	6.98	-45.08	2.947	326.69	2010-11-26
340.37	9.24	6.91	49.21	3.453	327.57	2010-11-29
343.41	9.309	3.04	69.58	4.052	328.59	2010-11-30
