Close	ATR	Momentum	CCI	MACD	EMA	Times
25.87	1.271	-0.11	-113.1	-0.4645	26.99	2009-02-20
25.3	1.24	-0.57	-128.2	-0.5262	26.88	2009-02-23
26.48	1.263	1.18	-75.88	-0.4744	26.86	2009-02-24
25.58	1.287	-0.9	-100.9	-0.5002	26.77	2009-02-25
24.77	1.314	-0.81	-166.2	-0.5793	26.65	2009-02-26
24.39	1.315	-0.38	-220.0	-0.6651	26.5	2009-02-27
24.1	1.311	-0.29	-179.9	-0.7478	26.34	2009-03-02
23.45	1.325	-0.65	-186.2	-0.8559	26.16	2009-03-03
24.05	1.333	0.6	-151.3	-0.883	26.02	2009-03-04
22.9	1.353	-1.15	-170.3	-0.9859	25.82	2009-03-05
23.45	1.327	0.55	-136.7	-1.011	25.67	2009-03-06
22.82	1.314	-0.63	-126.8	-1.07	25.48	2009-03-09
24.3	1.344	1.48	-79.64	-0.9859	25.41	2009-03-10
23.86	1.347	-0.44	-63.74	-0.9437	25.31	2009-03-11
25.21	1.413	1.35	-24.3	-0.7923	25.3	2009-03-12
26.1	1.417	0.89	44.03	-0.5936	25.35	2009-03-13
25.96	1.408	-0.14	91.6	-0.4423	25.39	2009-03-16
27.35	1.435	1.39	115.8	-0.2079	25.52	2009-03-17
28.02	1.469	0.67	145.3	0.03163	25.68	2009-03-18
26.76	1.5	-1.26	131.6	0.1184	25.75	2009-03-19
26.42	1.46	-0.34	90.47	0.1579	25.79	2009-03-20
27.85	1.465	1.43	117.4	0.3011	25.93	2009-03-23
26.7	1.479	-1.15	87.81	0.3182	25.98	2009-03-24
27.38	1.483	0.68	76.82	0.3821	26.07	2009-03-25
27.27	1.457	-0.11	80.91	0.4191	26.14	2009-03-26
26.79	1.434	-0.48	56.56	0.4051	26.19	2009-03-27
26.23	1.442	-0.56	43.53	0.3447	26.19	2009-03-30
27.67	1.45	1.44	69.75	0.4084	26.28	2009-03-31
28.69	1.475	1.02	104.9	0.535	26.44	2009-04-01
28.57	1.501	-0.12	128.8	0.6185	26.58	2009-04-02
29.01	1.466	0.44	122.4	0.712	26.73	2009-04-03
28.69	1.412	-0.32	120.5	0.7516	26.86	2009-04-06
28.2	1.378	-0.49	102.9	0.735	26.95	2009-04-07
28.69	1.351	0.49	114.3	0.7527	27.06	2009-04-08
29.17	1.41	0.48	120.9	0.7963	27.2	2009-04-09
29.82	1.403	0.65	139.8	0.8732	27.36	2009-04-13
28.15	1.431	-1.67	63.45	0.7903	27.42	2009-04-14
29.71	1.504	1.56	81.8	0.8408	27.56	2009-04-15
29.41	1.492	-0.3	100.2	0.8468	27.68	2009-04-16
28.96	1.472	-0.45	75.13	0.806	27.76	2009-04-17
27.49	1.498	-1.47	-6.458	0.6475	27.75	2009-04-20
29.03	1.519	1.54	25.81	0.6389	27.83	2009-04-21
27.19	1.543	-1.84	-55.03	0.478	27.79	2009-04-22
27.38	1.511	0.19	-93.96	0.3617	27.76	2009-04-23
26.89	1.483	-0.49	-115.5	0.2274	27.71	2009-04-24
27.46	1.481	0.57	-91.83	0.165	27.69	2009-04-27
27.86	1.472	0.4	-67.46	0.1462	27.7	2009-04-28
28.98	1.454	1.12	32.41	0.2191	27.78	2009-04-29
28.01	1.469	-0.97	-35.91	0.1964	27.8	2009-04-30
28.06	1.446	0.05	-58.38	0.1803	27.81	2009-05-01
