	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	1.25	0.08903	0.03	-103.6	-0.01781	1.31	2010-08-16
1	1.28	0.08553	0.03	-61.05	-0.01662	1.3	2010-08-17
2	1.25	0.08442	-0.03	-61.21	-0.01789	1.3	2010-08-18
3	1.25	0.08267	0.0	-69.94	-0.01868	1.3	2010-08-19
4	1.27	0.07963	0.02	-57.16	-0.01749	1.3	2010-08-20
5	1.34	0.08037	0.07	14.74	-0.01078	1.3	2010-08-23
6	1.28	0.08034	-0.06	-23.69	-0.01018	1.3	2010-08-24
7	1.33	0.08103	0.05	-0.9818	-0.00561	1.3	2010-08-25
8	1.32	0.0781	-0.01	33.43	-0.002761	1.3	2010-08-26
9	1.31	0.07395	-0.01	14.65	-0.001296	1.3	2010-08-27
10	1.3	0.06856	-0.02	22.06	0.0005979	1.3	2010-08-31
11	1.36	0.06938	0.06	108.0	0.005325	1.31	2010-09-01
12	1.4	0.06942	0.04	171.2	0.01216	1.31	2010-09-02
13	1.4	0.06732	0.0	164.0	0.01737	1.32	2010-09-03
14	1.37	0.06465	-0.03	120.5	0.01887	1.32	2010-09-07
15	1.39	0.06218	0.02	114.2	0.02142	1.33	2010-09-08
16	1.38	0.05917	-0.01	104.0	0.02238	1.33	2010-09-09
17	1.38	0.05989	0.04	84.99	0.02054	1.33	2010-09-13
18	1.41	0.06061	0.03	112.3	0.02337	1.34	2010-09-14
19	1.47	0.062	0.06	146.5	0.0301	1.35	2010-09-15
20	1.4	0.06829	-0.07	132.4	0.02945	1.35	2010-09-16
21	1.35	0.07055	-0.05	12.07	0.02462	1.35	2010-09-17
22	1.4	0.07123	0.05	42.66	0.02454	1.35	2010-09-20
23	1.38	0.07042	-0.02	60.07	0.0226	1.36	2010-09-21
24	1.37	0.06628	0.03	-14.06	0.007278	1.35	2010-09-27
25	1.43	0.06584	0.06	83.14	0.01236	1.36	2010-09-28
26	1.47	0.06542	0.04	158.2	0.0194	1.36	2010-09-29
27	1.36	0.07003	-0.11	24.75	0.01591	1.36	2010-09-30
28	1.36	0.05848	0.0	-38.55	0.00717	1.37	2010-10-08
29	1.35	0.05716	-0.01	-65.13	0.004529	1.37	2010-10-11
30	1.35	0.05379	0.0	-79.88	0.002408	1.36	2010-10-12
31	1.37	0.05281	0.02	-12.82	0.002314	1.37	2010-10-13
32	1.38	0.05189	0.01	14.42	0.003011	1.37	2010-10-14
33	1.37	0.05104	-0.01	-16.63	0.002726	1.37	2010-10-15
34	1.35	0.04954	-0.02	-42.93	0.0008761	1.37	2010-10-18
35	1.34	0.04815	-0.01	-86.42	-0.001381	1.36	2010-10-19
36	1.38	0.04756	0.04	-18.16	5.703e-05	1.36	2010-10-20
37	1.38	0.04702	0.0	15.37	0.001183	1.37	2010-10-21
38	1.38	0.04581	0.0	19.72	0.002052	1.37	2010-10-22
39	1.39	0.04396	0.01	40.4	0.003507	1.37	2010-10-25
40	1.42	0.04725	0.03	139.3	0.007	1.37	2010-10-26
41	1.4	0.04745	-0.02	114.6	0.008062	1.37	2010-10-27
42	1.41	0.0462	0.01	146.0	0.009599	1.38	2010-10-28
43	1.46	0.04719	0.05	204.7	0.01468	1.38	2010-10-29
44	1.43	0.05096	-0.03	203.8	0.01611	1.38	2010-11-01
45	1.42	0.05161	-0.01	110.8	0.01624	1.39	2010-11-02
46	1.45	0.05435	0.03	150.5	0.01855	1.39	2010-11-03
47	1.66	0.06761	0.21	343.2	0.0369	1.41	2010-11-04
48	1.67	0.0686	0.04	221.4	0.06017	1.44	2010-11-08
49	1.64	0.07156	-0.03	177.1	0.06626	1.45	2010-11-09
50	1.96	0.09502	0.32	246.4	0.0958	1.48	2010-11-10
51	1.87	0.09823	-0.09	196.5	0.1107	1.51	2010-11-11
52	1.99	0.1026	0.12	187.8	0.1306	1.54	2010-11-12
53	2.05	0.1103	0.06	191.5	0.1496	1.57	2010-11-15
54	1.98	0.1167	-0.07	133.5	0.1571	1.6	2010-11-16
55	1.99	0.1185	0.02	103.9	0.1628	1.65	2010-11-18
56	2.07	0.1179	0.08	104.9	0.1692	1.67	2010-11-19
57	2.23	0.1209	0.16	126.1	0.185	1.71	2010-11-22
58	2.3	0.1287	0.07	132.4	0.2009	1.75	2010-11-23
59	2.36	0.1274	0.06	135.9	0.2159	1.79	2010-11-24
60	2.35	0.124	-0.01	126.4	0.2243	1.82	2010-11-26
61	2.29	0.128	-0.06	103.6	0.2236	1.85	2010-11-29
62	2.36	0.1281	0.07	99.96	0.2261	1.89	2010-11-30
63	2.29	0.1333	-0.07	93.73	0.2198	1.91	2010-12-01
64	2.16	0.1387	-0.13	46.23	0.2021	1.93	2010-12-02
65	2.1	0.136	-0.06	16.93	0.1811	1.94	2010-12-03
66	2.02	0.1355	-0.08	-17.25	0.1562	1.94	2010-12-06
67	2.1	0.1373	0.08	-4.396	0.1413	1.95	2010-12-07
68	2.16	0.1325	0.06	10.99	0.1328	1.97	2010-12-08
69	2.14	0.128	-0.02	4.127	0.123	1.98	2010-12-09
70	2.1	0.1267	-0.04	-15.08	0.1108	1.99	2010-12-10
71	2.04	0.1241	-0.06	-56.61	0.09513	1.99	2010-12-13
72	1.9	0.1288	-0.14	-129.8	0.07062	1.98	2010-12-14
73	1.97	0.1268	0.07	-109.9	0.0562	1.98	2010-12-15
