Close	ATR	Momentum	CCI	MACD	EMA	Times
1694.47	41.69	-1.99	-96.28	-41.71	1788.87	2010-08-16
1715.37	40.48	20.9	-72.47	-40.59	1784.13	2010-08-17
1732.28	40.15	16.91	-54.31	-37.89	1780.78	2010-08-18
1690.49	41.26	-41.79	-62.1	-38.68	1774.96	2010-08-19
1686.51	40.38	-3.98	-74.27	-39.17	1769.25	2010-08-20
1689.5	38.77	2.99	-74.84	-38.88	1764.11	2010-08-23
1683.53	37.5	-5.97	-81.41	-38.68	1758.91	2010-08-24
1679.55	37.09	-3.98	-90.12	-38.4	1753.79	2010-08-25
1711.39	37.07	31.84	-33.82	-35.2	1751.05	2010-08-26
1718.35	35.99	6.96	-16.96	-31.74	1748.94	2010-08-27
1713.38	36.4	-4.97	-34.59	-29.07	1746.65	2010-08-31
1748.2	36.93	34.82	85.21	-23.86	1746.75	2010-09-01
1737.26	35.64	-10.94	162.7	-20.38	1746.14	2010-09-02
1733.28	34.94	-3.98	150.5	-17.74	1745.31	2010-09-03
1734.27	33.14	-14.93	106.5	-12.46	1744.83	2010-09-07
1743.23	33.47	8.96	90.3	-10.23	1744.73	2010-09-08
1759.15	33.21	15.92	124.5	-7.104	1745.66	2010-09-09
1759.15	31.81	-8.95	131.6	-1.985	1747.88	2010-09-13
1776.06	31.39	16.91	123.5	0.8543	1749.7	2010-09-14
1769.1	31.14	-6.96	107.4	2.514	1750.95	2010-09-15
1767.11	29.98	-1.99	93.94	3.627	1751.99	2010-09-16
1741.24	31.18	-25.87	58.48	2.393	1751.3	2010-09-17
1793.97	32.79	52.73	113.2	5.606	1754.05	2010-09-20
1791.98	32.44	-1.99	133.6	7.901	1756.5	2010-09-21
1806.91	33.84	22.89	159.0	12.39	1764.67	2010-09-27
1825.81	34.98	18.9	158.0	15.34	1768.62	2010-09-28
1834.77	34.68	8.96	198.2	18.2	1772.88	2010-09-29
1831.78	35.97	-2.99	149.3	19.98	1776.68	2010-09-30
1804.92	34.6	-30.84	33.86	18.82	1791.92	2010-10-08
1785.02	34.76	-19.9	-19.94	15.14	1791.48	2010-10-11
1789.0	35.47	3.98	-73.23	12.39	1791.32	2010-10-12
1804.92	35.64	15.92	18.35	11.37	1792.2	2010-10-13
1815.86	34.59	10.94	36.81	11.32	1793.72	2010-10-14
1808.9	33.82	-6.96	7.375	10.59	1794.7	2010-10-15
1804.92	32.97	-3.98	-34.09	9.581	1795.36	2010-10-18
1782.03	32.53	-22.89	-100.9	6.856	1794.5	2010-10-19
1790.99	31.85	8.96	-95.62	5.357	1794.27	2010-10-20
1836.76	34.26	45.77	81.12	7.773	1797.02	2010-10-21
1830.79	33.31	-5.97	72.37	9.101	1799.19	2010-10-22
1846.71	33.91	15.92	166.9	11.31	1802.26	2010-10-25
1802.93	34.97	-43.78	1.678	9.415	1802.3	2010-10-26
1787.01	33.97	-15.92	-105.9	6.555	1801.32	2010-10-27
1787.01	33.67	0.0	-79.75	4.24	1800.39	2010-10-28
1789.99	33.19	2.98	-86.29	2.615	1799.72	2010-10-29
1794.97	32.59	4.98	-59.79	1.71	1799.42	2010-11-01
1812.88	32.19	17.91	-5.105	2.41	1800.28	2010-11-02
1800.94	31.73	-11.94	-3.368	1.978	1800.33	2010-11-03
1914.37	37.93	113.4	318.8	10.67	1807.68	2010-11-04
1891.48	37.26	-11.94	156.9	19.89	1818.87	2010-11-08
1887.5	35.52	-3.98	128.6	22.02	1823.3	2010-11-09
1850.87	36.17	-36.63	55.49	20.52	1825.08	2010-11-10
1842.9	34.58	-7.97	33.2	18.47	1826.23	2010-11-11
1835.94	33.89	-6.96	5.959	16.1	1826.85	2010-11-12
1843.9	33.46	7.96	19.13	14.69	1827.95	2010-11-15
1825.99	32.49	-17.91	-4.856	11.99	1827.83	2010-11-16
1867.78	32.62	28.86	57.86	12.0	1831.07	2010-11-18
1874.75	31.86	6.97	64.15	13.38	1833.89	2010-11-19
1864.8	31.86	-9.95	63.42	13.51	1835.88	2010-11-22
1817.03	33.13	-47.77	-26.59	9.654	1834.67	2010-11-23
1831.96	32.55	14.93	-29.99	7.711	1834.49	2010-11-24
1827.98	31.86	-5.97	-62.5	4.575	1834.04	2010-11-26
1786.18	33.71	-41.8	-111.0	-0.1318	1830.95	2010-11-29
1768.27	33.86	-17.91	-165.1	-5.246	1826.91	2010-11-30
1797.13	34.07	28.86	-139.3	-6.892	1824.99	2010-12-01
1841.91	35.27	44.78	-44.42	-4.53	1826.08	2010-12-02
1845.89	34.95	3.98	13.19	-2.31	1827.36	2010-12-03
1843.9	34.37	-1.99	14.05	-0.704	1828.42	2010-12-06
1896.64	37.82	52.74	200.6	4.77	1832.83	2010-12-07
1888.68	37.39	-7.96	159.7	8.369	1836.43	2010-12-08
1897.63	36.78	8.95	138.5	11.81	1840.38	2010-12-09
1884.7	35.65	-12.93	112.5	13.34	1843.24	2010-12-10
1909.58	35.8	24.88	129.2	16.37	1847.52	2010-12-13
1933.46	35.3	23.88	146.4	20.46	1853.06	2010-12-14
1944.4	34.99	10.94	145.5	24.3	1858.95	2010-12-15
1956.34	33.84	11.94	143.6	27.99	1865.24	2010-12-16
1959.33	33.26	-2.99	117.8	32.84	1877.17	2010-12-20
1972.27	32.45	12.94	111.0	34.9	1883.3	2010-12-21
1972.27	31.27	0.0	104.1	36.12	1889.04	2010-12-22
1978.24	30.17	5.97	103.4	37.14	1894.8	2010-12-23
1985.2	30.13	0.99	91.4	38.31	1906.03	2010-12-29
1976.25	29.33	-8.95	82.0	37.4	1910.56	2010-12-30
1953.36	29.29	-22.89	56.62	34.44	1913.32	2010-12-31
1962.32	29.41	8.96	59.92	32.45	1916.48	2011-01-04
1945.4	29.94	-16.92	11.48	29.16	1918.35	2011-01-05
1918.53	30.36	-26.87	-37.98	24.11	1918.36	2011-01-06
1896.64	30.75	-21.89	-89.02	18.13	1916.96	2011-01-07
1887.68	29.9	-8.96	-135.1	12.53	1915.07	2011-01-10
1893.65	29.61	5.97	-122.2	8.473	1913.69	2011-01-11
1891.66	29.06	-1.99	-121.3	5.039	1912.26	2011-01-12
1887.68	28.26	-3.98	-129.1	1.974	1910.68	2011-01-13
1884.7	28.16	-2.98	-128.8	-0.6883	1909.0	2011-01-14
1880.72	27.14	8.96	-96.98	-5.477	1904.93	2011-01-18
1885.69	28.26	4.97	-59.32	-6.333	1903.69	2011-01-19
1880.72	28.23	-4.97	-82.02	-7.328	1902.21	2011-01-20
1902.61	28.42	21.89	-46.25	-6.278	1902.23	2011-01-21
1910.57	27.6	7.96	-17.9	-4.749	1902.77	2011-01-24
1860.82	29.46	-49.75	-82.16	-7.465	1900.06	2011-01-25
1836.93	30.03	-19.91	-156.8	-13.15	1893.38	2011-01-27
1818.03	29.8	-18.9	-183.3	-17.12	1888.52	2011-01-28
1807.08	29.31	-10.95	-189.5	-20.9	1883.27	2011-01-31
1816.04	28.92	8.96	-163.6	-22.91	1878.93	2011-02-01
1814.22	30.78	-20.72	-92.07	-21.97	1862.04	2011-02-09
1805.26	30.5	-8.96	-100.5	-22.84	1858.38	2011-02-10
1798.3	30.24	-6.96	-118.7	-23.82	1854.5	2011-02-11
1797.3	29.86	-1.0	-105.4	-24.39	1850.81	2011-02-14
1784.37	29.93	-12.93	-107.0	-25.59	1846.52	2011-02-15
1789.34	29.07	4.97	-96.33	-25.85	1842.83	2011-02-16
1797.3	29.55	7.96	-70.64	-25.12	1839.9	2011-02-17
1818.2	29.87	20.9	-54.13	-22.59	1838.5	2011-02-18
1814.22	28.92	-8.96	-26.85	-18.38	1836.01	2011-02-22
1801.28	28.2	-12.94	-54.83	-17.97	1833.77	2011-02-23
1816.21	27.97	14.93	-30.39	-16.25	1832.63	2011-02-24
1828.15	27.27	11.94	73.18	-13.77	1832.34	2011-02-25
1815.22	26.6	-12.93	29.28	-12.7	1831.24	2011-02-28
1814.22	26.62	-1.0	38.63	-11.79	1830.14	2011-03-01
1824.17	27.24	12.93	48.46	-9.554	1828.62	2011-03-03
1822.18	27.65	-1.99	113.8	-8.324	1828.2	2011-03-04
1826.16	27.8	3.98	91.15	-6.948	1828.07	2011-03-07
1831.14	27.52	4.98	109.1	-5.394	1828.27	2011-03-08
1830.14	26.84	-1.0	118.2	-4.194	1828.39	2011-03-09
1839.1	27.43	8.96	90.19	-2.492	1829.08	2011-03-10
1848.06	27.96	8.96	128.7	-0.4151	1830.3	2011-03-11
1826.16	27.95	-21.9	83.18	-0.5302	1830.04	2011-03-14
1794.32	29.01	-31.84	-126.0	-3.154	1827.73	2011-03-15
1787.35	29.0	-6.97	-134.0	-5.73	1825.13	2011-03-16
1795.31	29.01	7.96	-161.7	-7.048	1823.2	2011-03-17
1811.24	29.5	15.93	-7.131	-6.73	1822.43	2011-03-18
1830.14	29.0	18.9	48.09	-4.896	1822.93	2011-03-21
1801.28	29.77	-28.86	-42.88	-5.705	1821.53	2011-03-22
1825.17	30.14	23.89	-32.64	-4.369	1821.77	2011-03-23
1860.0	32.21	34.83	132.5	-0.4934	1824.23	2011-03-24
1876.92	32.33	16.92	282.1	3.898	1827.63	2011-03-25
1882.89	31.31	5.97	242.9	7.771	1831.2	2011-03-28
1884.88	31.2	1.99	174.7	10.88	1834.66	2011-03-29
1889.86	30.18	4.98	173.9	13.58	1838.22	2011-03-30
1890.85	30.16	0.99	154.0	15.62	1841.62	2011-03-31
1891.85	29.21	1.0	127.1	17.13	1844.86	2011-04-01
1887.87	29.2	11.95	79.56	17.14	1851.6	2011-04-06
1883.88	28.25	-3.99	72.04	16.9	1853.68	2011-04-07
1893.84	28.08	9.96	83.51	17.31	1856.27	2011-04-08
1894.83	27.5	0.99	73.53	17.52	1858.76	2011-04-11
1918.72	27.62	12.94	112.5	19.83	1865.47	2011-04-13
1960.51	28.11	27.86	187.5	25.45	1875.65	2011-04-15
1912.74	30.23	-47.77	105.1	24.15	1878.05	2011-04-18
1944.59	30.56	31.85	135.2	25.39	1882.34	2011-04-19
1951.56	30.51	6.97	165.3	26.64	1886.8	2011-04-20
1954.54	29.54	2.98	147.2	27.55	1891.17	2011-04-21
1978.43	29.77	23.89	149.3	29.85	1896.8	2011-04-26
1980.42	28.79	1.99	143.5	31.47	1902.2	2011-04-27
1932.65	32.35	-47.77	18.63	28.57	1904.16	2011-04-28
1932.65	30.04	0.0	34.71	25.98	1906.0	2011-04-29
1977.43	31.09	44.78	105.6	27.22	1910.61	2011-05-03
1963.5	30.79	-13.93	99.25	26.77	1914.02	2011-05-04
1941.61	30.73	-21.89	39.94	24.37	1915.8	2011-05-05
1968.48	31.09	26.87	74.66	24.35	1919.2	2011-05-06
1957.53	30.08	-10.95	71.31	23.19	1921.67	2011-05-09
1990.37	31.27	32.84	104.2	24.63	1926.11	2011-05-10
1965.69	31.39	-24.68	73.92	23.51	1928.66	2011-05-11
1982.61	31.42	16.92	80.34	23.72	1932.14	2011-05-12
1976.63	31.31	-5.98	117.6	23.13	1935.01	2011-05-13
1962.7	31.42	-13.93	16.72	21.3	1936.8	2011-05-16
1953.74	30.38	-8.96	-4.861	18.91	1937.89	2011-05-17
1972.65	29.56	18.91	46.1	18.32	1940.13	2011-05-18
1976.63	28.81	3.98	85.58	17.97	1942.49	2011-05-19
1958.72	29.65	-17.91	15.79	16.07	1943.53	2011-05-20
1938.81	29.88	-19.91	-131.3	12.8	1943.23	2011-05-23
1935.83	28.88	-2.98	-108.1	9.861	1942.75	2011-05-24
1929.86	28.52	-5.97	-143.8	6.968	1941.92	2011-05-25
1924.88	28.05	-4.98	-121.2	4.224	1940.82	2011-05-26
1930.85	27.04	5.97	-107.6	2.503	1940.18	2011-05-27
1961.7	27.95	30.85	-5.761	3.587	1941.57	2011-05-31
1970.66	28.02	8.96	89.26	5.11	1943.44	2011-06-01
1948.77	27.58	-21.89	-10.32	4.499	1943.79	2011-06-02
1962.7	27.18	13.93	-2.232	5.08	1945.01	2011-06-03
1970.66	25.96	3.98	49.77	6.606	1947.97	2011-06-07
1953.74	25.9	-16.92	13.98	5.817	1948.34	2011-06-08
1954.74	25.77	1.0	-49.43	5.212	1948.76	2011-06-09
1927.86	26.13	-26.88	-82.92	2.535	1947.41	2011-06-10
1927.86	28.1	0.0	-70.93	0.4078	1946.15	2011-06-13
1935.83	27.16	7.97	-90.54	-0.6272	1945.48	2011-06-14
1926.87	26.57	-8.96	-90.26	-2.146	1944.28	2011-06-15
1924.88	26.52	-1.99	-125.1	-3.47	1943.03	2011-06-16
1944.79	27.68	19.91	-42.24	-2.879	1943.14	2011-06-17
1938.81	27.84	-5.98	-51.55	-2.861	1942.86	2011-06-20
1948.77	27.41	9.96	26.53	-2.019	1943.24	2011-06-21
1964.69	27.66	15.92	68.18	-0.06715	1944.63	2011-06-22
1931.85	28.67	-32.84	-41.7	-1.157	1943.8	2011-06-23
1960.71	30.03	28.86	79.72	0.3054	1944.89	2011-06-24
1976.63	30.35	15.92	95.73	2.717	1946.94	2011-06-27
1978.62	29.67	1.99	139.5	4.735	1948.98	2011-06-28
1985.59	29.05	6.97	142.4	6.817	1951.35	2011-06-29
1996.54	28.05	10.95	152.8	9.245	1954.26	2011-06-30
2002.51	27.47	5.97	149.3	11.52	1957.37	2011-07-01
2024.41	27.16	-2.98	174.8	17.59	1965.93	2011-07-05
2029.38	26.14	4.97	157.3	19.69	1970.02	2011-07-06
2055.26	26.51	25.88	164.2	23.18	1975.52	2011-07-07
2041.33	26.47	-13.93	140.8	24.54	1979.76	2011-07-08
2019.43	27.06	-21.9	79.71	23.58	1982.32	2011-07-11
2000.52	28.26	-18.91	23.36	21.05	1983.5	2011-07-12
1984.6	27.8	-15.92	5.083	17.56	1983.57	2011-07-13
1976.63	28.16	-7.97	-6.109	13.98	1983.12	2011-07-14
1964.69	28.28	-11.94	-57.02	10.07	1981.93	2011-07-15
1948.77	29.18	-15.92	-119.1	5.623	1979.79	2011-07-18
1944.79	28.73	-3.98	-106.0	1.756	1977.53	2011-07-19
1970.66	29.31	25.87	-74.58	0.7703	1977.09	2011-07-20
1978.62	29.64	7.96	-44.55	0.624	1977.19	2011-07-21
1994.55	28.94	15.93	-11.22	1.773	1978.31	2011-07-22
1989.57	28.3	-4.98	-20.84	2.256	1979.04	2011-07-25
1981.61	28.55	-7.96	-19.97	1.973	1979.2	2011-07-26
1955.73	28.86	-25.88	-86.33	-0.3351	1977.69	2011-07-27
