Close	ATR	Momentum	CCI	MACD	EMA	Times
22.08	1.009	-0.53	-102.0	0.5888	21.86	2009-02-20
18.8	1.197	-3.28	-417.9	0.2438	21.66	2009-02-23
19.11	1.173	0.31	-320.4	-0.004626	21.49	2009-02-24
18.17	1.183	-0.94	-264.8	-0.2742	21.28	2009-02-25
15.84	1.314	-2.33	-253.8	-0.6681	20.93	2009-02-26
15.51	1.287	-0.33	-211.5	-0.9954	20.58	2009-02-27
13.79	1.344	-1.72	-200.3	-1.378	20.14	2009-03-02
14.05	1.356	0.26	-162.3	-1.641	19.75	2009-03-03
14.17	1.309	0.12	-133.0	-1.819	19.39	2009-03-04
12.9	1.316	-1.27	-132.9	-2.039	18.97	2009-03-05
14.13	1.32	1.23	-107.4	-2.09	18.66	2009-03-06
14.04	1.29	-0.09	-91.02	-2.113	18.36	2009-03-09
15.24	1.296	1.2	-67.91	-2.011	18.16	2009-03-10
15.09	1.29	-0.15	-52.42	-1.921	17.96	2009-03-11
16.11	1.297	1.02	-38.99	-1.747	17.84	2009-03-12
16.86	1.277	0.75	-15.01	-1.53	17.78	2009-03-13
16.32	1.249	-0.54	-11.59	-1.387	17.68	2009-03-16
17.0	1.244	0.68	-0.2957	-1.204	17.64	2009-03-17
17.32	1.246	0.32	28.04	-1.022	17.62	2009-03-18
16.81	1.232	-0.51	30.16	-0.9078	17.57	2009-03-19
16.28	1.234	-0.53	24.16	-0.8506	17.48	2009-03-20
17.4	1.233	1.12	57.58	-0.7067	17.48	2009-03-23
16.67	1.197	-0.73	62.32	-0.6441	17.43	2009-03-24
16.71	1.172	0.04	58.91	-0.5846	17.38	2009-03-25
17.06	1.14	0.35	69.58	-0.5033	17.36	2009-03-26
16.64	1.1	-0.42	53.82	-0.4675	17.31	2009-03-27
16.21	1.073	-0.43	21.48	-0.4683	17.24	2009-03-30
16.54	1.059	0.33	42.8	-0.4373	17.2	2009-03-31
16.34	1.054	-0.2	12.64	-0.424	17.14	2009-04-01
16.65	1.041	0.31	47.26	-0.384	17.11	2009-04-02
16.23	1.043	-0.42	1.758	-0.3819	17.05	2009-04-03
17.33	1.07	1.1	62.33	-0.288	17.07	2009-04-06
18.53	1.167	1.2	219.9	-0.1155	17.16	2009-04-07
18.07	1.188	-0.46	268.4	-0.01572	17.22	2009-04-08
18.86	1.162	0.79	244.4	0.1257	17.33	2009-04-09
19.26	1.141	0.4	223.1	0.2669	17.45	2009-04-13
19.36	1.127	0.1	183.9	0.3825	17.58	2009-04-14
19.85	1.146	0.49	181.0	0.5078	17.72	2009-04-15
19.25	1.202	-0.6	133.8	0.5523	17.82	2009-04-16
19.08	1.189	-0.17	79.95	0.5673	17.9	2009-04-17
