Close	ATR	Momentum	CCI	MACD	EMA	Times
306.02	11.21	-1.39	158.9	7.983	279.99	2010-01-06
299.84	11.14	-6.18	123.3	8.251	281.27	2010-01-07
295.15	11.19	-4.69	83.68	7.993	282.17	2010-01-08
288.17	11.17	-6.98	54.91	7.143	282.56	2010-01-11
290.07	10.99	1.9	41.63	6.547	283.04	2010-01-12
289.07	10.51	-1.0	29.81	5.925	283.43	2010-01-13
288.08	10.23	-0.99	20.68	5.292	283.73	2010-01-14
289.07	9.93	0.99	11.76	4.815	284.07	2010-01-15
287.18	9.484	-1.89	8.635	4.235	284.28	2010-01-18
289.47	9.077	2.29	8.444	3.915	284.61	2010-01-19
290.57	8.927	1.1	2.894	3.708	284.99	2010-01-20
289.07	8.639	-1.5	0.8418	3.383	285.26	2010-01-21
277.41	8.962	-11.66	-95.07	2.16	284.75	2010-01-22
277.31	8.834	-0.1	-157.8	1.17	284.27	2010-01-25
283.09	9.185	5.78	-120.5	0.8412	284.2	2010-01-26
284.29	8.85	1.2	-89.85	0.6701	284.2	2010-01-27
284.59	8.545	0.3	-67.09	0.5522	284.23	2010-01-28
287.38	8.277	2.79	-46.45	0.6762	284.43	2010-01-29
291.56	8.077	4.18	-0.6582	1.099	284.89	2010-02-01
300.24	8.547	8.68	93.72	2.11	285.88	2010-02-02
301.63	8.807	1.39	204.3	2.989	286.9	2010-02-03
290.17	9.118	-11.46	77.35	2.73	287.11	2010-02-04
281.2	9.477	-8.97	-74.18	1.78	286.73	2010-02-05
275.62	9.648	-5.58	-145.0	0.5701	286.01	2010-02-08
281.5	9.604	5.88	-99.55	0.08494	285.72	2010-02-09
281.99	9.374	0.49	-68.03	-0.2571	285.48	2010-02-10
286.98	9.174	4.99	-20.38	-0.1241	285.58	2010-02-11
279.4	9.445	-7.58	-72.42	-0.6231	285.18	2010-02-12
282.09	9.169	2.69	-45.4	-0.7924	284.98	2010-02-15
282.09	8.885	0.0	-45.66	-0.916	284.79	2010-02-16
286.48	8.835	4.39	16.93	-0.6522	284.9	2010-02-17
288.67	9.065	2.19	14.75	-0.2634	285.14	2010-02-18
287.28	8.624	-1.39	29.25	-0.06668	285.28	2010-02-19
287.78	8.527	0.5	35.23	0.1281	285.44	2010-02-22
288.87	8.737	1.09	-13.16	0.3662	285.66	2010-02-23
288.08	8.54	-0.79	25.52	0.4856	285.82	2010-02-24
289.17	8.414	1.09	7.85	0.6605	286.04	2010-02-25
289.67	8.39	0.5	49.38	0.8299	286.27	2010-02-26
285.38	8.674	-4.29	-20.05	0.611	286.21	2010-03-01
284.79	8.595	-0.59	-17.41	0.3854	286.12	2010-03-02
251.59	10.65	-33.2	-376.4	-2.444	283.89	2010-03-03
261.16	10.71	9.57	-285.0	-3.87	282.43	2010-03-04
264.15	10.39	2.99	-164.3	-4.704	281.25	2010-03-05
263.16	10.05	-0.99	-145.7	-5.383	280.08	2010-03-08
263.16	9.759	0.0	-118.5	-5.854	278.99	2010-03-09
269.14	9.902	5.98	-79.48	-5.679	278.35	2010-03-10
269.14	9.544	0.0	-62.76	-5.477	277.76	2010-03-11
269.14	9.203	0.0	-56.39	-5.256	277.2	2010-03-12
263.95	9.001	-5.19	-70.04	-5.438	276.35	2010-03-15
259.87	8.877	-4.08	-78.1	-5.843	275.28	2010-03-16
259.57	8.521	-0.3	-81.2	-6.118	274.27	2010-03-17
264.15	8.446	4.58	-50.78	-5.899	273.62	2010-03-18
262.86	8.199	-1.29	-51.99	-5.763	272.92	2010-03-19
261.16	8.244	-1.7	-71.49	-5.726	272.16	2010-03-22
256.58	8.139	-4.58	-77.57	-5.997	271.16	2010-03-23
247.8	8.348	-8.78	-133.5	-6.841	269.65	2010-03-24
249.2	8.151	1.4	-148.1	-7.313	268.33	2010-03-25
253.49	8.103	4.29	-126.5	-7.258	267.38	2010-03-26
252.49	8.001	-1.0	-85.8	-7.211	266.41	2010-03-29
252.69	7.956	0.2	-97.81	-7.076	265.53	2010-03-30
257.27	7.978	4.58	-48.88	-6.525	265.0	2010-03-31
258.87	7.714	1.6	-23.57	-5.891	264.6	2010-04-01
259.27	7.548	0.4	-0.6951	-5.295	264.26	2010-04-06
254.68	7.564	-4.59	-44.63	-5.134	263.64	2010-04-07
246.21	7.771	-8.47	-139.5	-5.625	262.51	2010-04-08
250.79	7.672	4.58	-96.59	-5.58	261.76	2010-04-09
245.51	7.886	-5.28	-107.5	-5.903	260.71	2010-04-12
242.22	7.906	-3.29	-159.3	-6.351	259.52	2010-04-13
239.33	8.004	-2.89	-156.5	-6.86	258.21	2010-04-14
244.42	7.813	5.09	-133.5	-6.774	257.32	2010-04-15
241.72	7.672	-2.7	-121.2	-6.846	256.32	2010-04-16
