Close	ATR	Momentum	CCI	MACD	EMA	Times
146.91	2.365	-0.62	67.17	1.207	145.41	2010-01-06
143.09	2.48	-3.82	-140.9	0.8106	145.26	2010-01-07
141.24	2.545	-1.85	-220.7	0.3435	145.01	2010-01-08
142.12	2.54	0.88	-190.2	0.04387	144.82	2010-01-11
142.01	2.528	-0.11	-157.8	-0.2002	144.64	2010-01-12
142.17	2.491	0.16	-132.4	-0.3763	144.48	2010-01-13
141.03	2.486	-1.14	-126.9	-0.601	144.26	2010-01-14
138.87	2.471	-2.16	-172.2	-0.9425	143.91	2010-01-15
139.8	2.457	0.93	-149.7	-1.125	143.64	2010-01-18
141.55	2.44	1.75	-86.95	-1.116	143.51	2010-01-19
140.16	2.516	-1.39	-77.66	-1.207	143.29	2010-01-20
139.43	2.524	-0.73	-87.96	-1.322	143.04	2010-01-21
139.69	2.51	0.26	-83.39	-1.377	142.83	2010-01-22
137.63	2.503	-2.06	-112.9	-1.569	142.49	2010-01-25
139.02	2.535	1.39	-106.3	-1.59	142.27	2010-01-26
138.97	2.648	-0.05	-92.6	-1.593	142.05	2010-01-27
136.7	2.714	-2.27	-105.6	-1.758	141.71	2010-01-28
138.71	2.726	2.01	-91.86	-1.706	141.52	2010-01-29
139.9	2.656	1.19	-53.36	-1.552	141.41	2010-02-01
139.54	2.562	-0.36	-42.93	-1.442	141.29	2010-02-02
138.66	2.571	-0.88	-53.06	-1.41	141.12	2010-02-03
143.61	2.936	4.95	177.0	-0.9733	141.28	2010-02-04
143.51	2.962	-0.1	159.3	-0.6283	141.43	2010-02-05
143.56	2.912	0.05	135.9	-0.3469	141.56	2010-02-08
142.53	2.896	-1.03	72.91	-0.2047	141.63	2010-02-09
142.89	2.829	0.36	82.12	-0.06215	141.71	2010-02-10
142.22	2.852	-0.67	66.23	-0.003236	141.74	2010-02-11
143.3	2.751	1.08	78.76	0.1291	141.84	2010-02-12
143.15	2.691	-0.15	87.6	0.2194	141.93	2010-02-15
143.66	2.584	0.51	77.73	0.3283	142.04	2010-02-16
144.18	2.513	0.52	88.46	0.4513	142.18	2010-02-17
146.03	2.489	1.85	112.0	0.6902	142.42	2010-02-18
146.81	2.473	0.78	126.9	0.9317	142.71	2010-02-19
145.57	2.443	-1.24	113.8	1.011	142.89	2010-02-22
144.33	2.46	-1.24	80.88	0.9633	142.98	2010-02-23
145.36	2.399	1.03	73.49	0.9969	143.14	2010-02-24
146.7	2.429	1.34	114.2	1.119	143.37	2010-02-25
145.83	2.477	-0.87	85.4	1.132	143.53	2010-02-26
147.22	2.425	1.39	120.0	1.24	143.76	2010-03-01
150.26	2.48	3.04	193.2	1.554	144.18	2010-03-02
152.58	2.531	2.32	265.3	1.967	144.73	2010-03-03
152.17	2.531	-0.41	195.8	2.235	145.21	2010-03-04
152.22	2.491	0.05	160.5	2.424	145.66	2010-03-05
152.73	2.413	0.51	152.0	2.585	146.11	2010-03-08
152.99	2.358	0.26	137.2	2.702	146.56	2010-03-09
153.66	2.33	0.67	121.8	2.817	147.02	2010-03-10
154.44	2.296	0.78	117.9	2.936	147.5	2010-03-11
156.29	2.297	1.85	133.0	3.145	148.06	2010-03-12
155.26	2.294	-1.03	119.1	3.19	148.53	2010-03-15
153.92	2.341	-1.34	80.25	3.082	148.87	2010-03-16
152.58	2.353	-1.34	58.13	2.855	149.11	2010-03-17
151.55	2.34	-1.03	18.15	2.563	149.27	2010-03-18
152.79	2.32	1.24	40.02	2.404	149.5	2010-03-19
152.48	2.306	-0.31	24.29	2.227	149.69	2010-03-22
153.1	2.256	0.62	36.69	2.112	149.91	2010-03-23
153.51	2.191	0.41	41.54	2.031	150.14	2010-03-24
151.75	2.241	-1.76	-24.83	1.804	150.25	2010-03-25
151.24	2.199	-0.51	-49.51	1.565	150.31	2010-03-26
155.83	2.414	4.59	115.6	1.726	150.67	2010-03-29
156.91	2.388	1.08	199.2	1.918	151.07	2010-03-30
156.7	2.409	-0.21	162.6	2.031	151.43	2010-03-31
156.39	2.443	-0.31	81.04	2.071	151.75	2010-04-01
