Close	ATR	Momentum	CCI	MACD	EMA	Times
11.57	0.4695	0.33	-128.4	-0.3059	12.17	2009-02-20
11.18	0.4739	-0.39	-124.5	-0.3314	12.11	2009-02-23
11.47	0.4693	0.29	-104.2	-0.3245	12.07	2009-02-24
11.47	0.4651	0.0	-82.02	-0.3153	12.03	2009-02-25
11.44	0.4554	-0.03	-68.27	-0.307	11.99	2009-02-26
11.46	0.4493	0.02	-62.48	-0.2953	11.96	2009-02-27
11.05	0.4501	-0.41	-99.41	-0.3156	11.9	2009-03-02
10.97	0.4394	-0.08	-104.8	-0.3342	11.84	2009-03-03
11.3	0.4494	0.33	-70.3	-0.3186	11.8	2009-03-04
11.21	0.4623	-0.09	-59.18	-0.31	11.76	2009-03-05
10.96	0.4814	-0.25	-99.07	-0.3197	11.71	2009-03-06
10.51	0.4813	-0.45	-171.9	-0.3595	11.63	2009-03-09
11.09	0.4884	0.58	-113.4	-0.3403	11.6	2009-03-10
11.02	0.4742	-0.07	-71.83	-0.327	11.56	2009-03-11
11.3	0.4653	0.28	-32.14	-0.2905	11.55	2009-03-12
11.41	0.4499	0.11	24.33	-0.2498	11.54	2009-03-13
11.47	0.4492	0.06	82.89	-0.2103	11.53	2009-03-16
11.98	0.4557	0.51	189.5	-0.1363	11.56	2009-03-17
12.36	0.4639	0.38	266.3	-0.04643	11.61	2009-03-18
12.15	0.4665	-0.21	201.3	0.007756	11.65	2009-03-19
11.89	0.4624	-0.26	138.9	0.02938	11.66	2009-03-20
12.48	0.4715	0.59	166.9	0.09305	11.72	2009-03-23
12.25	0.4571	-0.23	142.6	0.1235	11.75	2009-03-24
12.11	0.4631	-0.14	88.28	0.1348	11.77	2009-03-25
12.26	0.4628	0.15	81.4	0.1541	11.8	2009-03-26
12.3	0.4484	0.04	87.98	0.1707	11.84	2009-03-27
12.14	0.4428	-0.16	60.0	0.1689	11.86	2009-03-30
12.13	0.4383	-0.01	68.82	0.1648	11.87	2009-03-31
12.54	0.452	0.41	83.18	0.1924	11.92	2009-04-01
13.04	0.4718	0.5	147.5	0.2518	11.99	2009-04-02
13.17	0.4546	0.13	154.2	0.3058	12.07	2009-04-03
13.26	0.4407	0.09	160.8	0.3518	12.14	2009-04-06
12.92	0.442	-0.34	123.0	0.3567	12.19	2009-04-07
12.9	0.429	-0.02	105.7	0.3548	12.24	2009-04-08
13.07	0.4134	0.17	112.4	0.3629	12.29	2009-04-09
12.93	0.4032	-0.14	79.89	0.354	12.33	2009-04-13
12.75	0.3994	-0.18	39.49	0.3286	12.36	2009-04-14
12.91	0.3873	0.16	52.56	0.3177	12.4	2009-04-15
12.92	0.3732	0.01	52.05	0.3063	12.43	2009-04-16
12.94	0.3644	0.02	69.09	0.2955	12.46	2009-04-17
12.6	0.3712	-0.34	9.866	0.2566	12.47	2009-04-20
12.64	0.3683	0.04	-19.85	0.2263	12.48	2009-04-21
12.59	0.3655	-0.05	-1.22	0.1961	12.49	2009-04-22
12.63	0.3601	0.04	-30.94	0.1733	12.5	2009-04-23
12.63	0.3565	0.0	-35.1	0.1535	12.51	2009-04-24
12.44	0.3582	-0.19	-80.81	0.1211	12.5	2009-04-27
12.61	0.3569	0.17	-70.45	0.1079	12.51	2009-04-28
12.38	0.3636	-0.23	-99.82	0.07793	12.5	2009-04-29
12.36	0.3605	-0.02	-130.0	0.05199	12.49	2009-04-30
12.44	0.3511	0.08	-108.2	0.03746	12.49	2009-05-01
12.64	0.3489	0.2	-30.34	0.0416	12.5	2009-05-04
12.47	0.344	-0.17	-57.24	0.03081	12.5	2009-05-05
12.53	0.3337	0.06	-75.35	0.02679	12.5	2009-05-06
12.16	0.3506	-0.37	-159.2	-0.006176	12.48	2009-05-07
12.16	0.3455	0.0	-162.5	-0.03194	12.46	2009-05-08
12.14	0.338	-0.02	-150.7	-0.05335	12.44	2009-05-11
12.38	0.336	0.24	-71.96	-0.05037	12.43	2009-05-12
12.12	0.3449	-0.26	-94.77	-0.06821	12.41	2009-05-13
12.21	0.3359	0.09	-103.0	-0.07423	12.4	2009-05-14
12.06	0.3312	-0.15	-133.1	-0.09006	12.38	2009-05-15
12.1	0.3219	0.04	-108.1	-0.09825	12.36	2009-05-18
12.08	0.3082	-0.02	-111.9	-0.1051	12.34	2009-05-19
12.15	0.3011	0.07	-65.69	-0.1038	12.33	2009-05-20
11.88	0.3096	-0.27	-163.6	-0.123	12.3	2009-05-21
11.73	0.3004	-0.15	-184.7	-0.1487	12.26	2009-05-22
12.07	0.3111	0.34	-109.4	-0.14	12.25	2009-05-26
11.79	0.3124	-0.28	-123.9	-0.1539	12.22	2009-05-27
11.92	0.3065	0.13	-106.9	-0.1527	12.2	2009-05-28
11.92	0.3039	0.0	-106.8	-0.15	12.18	2009-05-29
11.91	0.2965	-0.01	-72.29	-0.147	12.17	2009-06-01
12.04	0.2917	0.13	-42.87	-0.1325	12.16	2009-06-02
12.05	0.293	0.01	-25.38	-0.1189	12.15	2009-06-03
12.04	0.2828	-0.01	0.6032	-0.1077	12.14	2009-06-04
11.91	0.2819	-0.13	-37.45	-0.1081	12.13	2009-06-05
11.92	0.2782	0.01	-61.42	-0.1063	12.12	2009-06-08
11.98	0.2748	0.06	-42.82	-0.09896	12.11	2009-06-09
12.03	0.2723	0.05	3.688	-0.08807	12.1	2009-06-10
12.12	0.2714	0.09	85.76	-0.07136	12.1	2009-06-11
12.19	0.2649	0.07	120.9	-0.05186	12.11	2009-06-12
12.11	0.2588	-0.08	81.96	-0.04238	12.11	2009-06-15
12.03	0.251	-0.08	55.27	-0.04085	12.1	2009-06-16
12.13	0.2474	0.1	102.9	-0.03121	12.11	2009-06-17
12.25	0.2476	0.12	180.2	-0.01373	12.11	2009-06-18
12.08	0.2542	-0.17	108.1	-0.01344	12.11	2009-06-19
12.23	0.256	0.15	99.26	-0.00109	12.12	2009-06-22
12.43	0.257	0.2	197.4	0.02455	12.14	2009-06-23
12.54	0.2537	0.11	242.1	0.05314	12.17	2009-06-24
12.66	0.2555	0.12	218.2	0.0845	12.2	2009-06-25
12.62	0.248	-0.04	181.5	0.1049	12.22	2009-06-26
12.77	0.246	0.15	176.5	0.1317	12.26	2009-06-29
12.52	0.2541	-0.25	114.5	0.1312	12.28	2009-06-30
12.55	0.2474	0.03	89.64	0.1317	12.29	2009-07-01
12.29	0.249	-0.26	20.15	0.1099	12.29	2009-07-02
12.36	0.2462	0.07	18.3	0.09714	12.3	2009-07-06
12.07	0.2537	-0.29	-46.95	0.06289	12.28	2009-07-07
11.85	0.2648	-0.22	-127.2	0.01779	12.26	2009-07-08
11.85	0.2595	0.0	-145.7	-0.01774	12.23	2009-07-09
11.84	0.2524	-0.01	-141.7	-0.04618	12.2	2009-07-10
12.02	0.2536	0.18	-94.38	-0.05357	12.19	2009-07-13
11.98	0.2484	-0.04	-77.89	-0.06195	12.18	2009-07-14
12.14	0.2492	0.16	-37.7	-0.05504	12.18	2009-07-15
12.2	0.2443	0.06	-26.83	-0.04421	12.18	2009-07-16
12.24	0.239	0.04	-17.13	-0.03203	12.18	2009-07-17
12.32	0.2326	0.08	4.233	-0.01575	12.19	2009-07-20
12.54	0.2331	0.22	59.81	0.01474	12.21	2009-07-21
12.46	0.2315	-0.08	63.56	0.03208	12.23	2009-07-22
12.94	0.2599	0.48	141.4	0.08359	12.28	2009-07-23
13.03	0.2549	0.09	157.9	0.1302	12.32	2009-07-24
