Close	ATR	Momentum	CCI	MACD	EMA	Times
12.39	0.5928	0.0	65.53	0.2668	11.54	2009-02-20
12.08	0.5962	-0.31	54.34	0.2569	11.58	2009-02-23
12.55	0.6071	0.47	61.13	0.2837	11.64	2009-02-24
12.34	0.5859	-0.21	59.32	0.2847	11.68	2009-02-25
12.48	0.5741	0.14	60.04	0.2934	11.74	2009-02-26
12.63	0.5788	0.15	79.37	0.3089	11.79	2009-02-27
12.06	0.5867	-0.57	25.79	0.272	11.81	2009-03-02
12.1	0.5834	0.04	-11.84	0.2432	11.83	2009-03-03
12.31	0.5731	0.21	6.071	0.2346	11.86	2009-03-04
11.9	0.5772	-0.41	-128.1	0.1925	11.86	2009-03-05
11.18	0.6145	-0.72	-331.0	0.09984	11.82	2009-03-06
11.09	0.6078	-0.09	-300.5	0.01895	11.77	2009-03-09
11.77	0.613	0.68	-136.5	0.00961	11.77	2009-03-10
11.44	0.6192	-0.33	-127.3	-0.02414	11.75	2009-03-11
12.04	0.6357	0.6	-72.65	-0.002449	11.77	2009-03-12
11.59	0.6488	-0.45	-54.98	-0.02132	11.76	2009-03-13
11.62	0.6318	0.03	-65.31	-0.03347	11.75	2009-03-16
12.31	0.6509	0.69	-4.543	0.01243	11.78	2009-03-17
12.54	0.653	0.23	57.55	0.0666	11.83	2009-03-18
11.73	0.6742	-0.81	-0.658	0.04367	11.83	2009-03-19
11.7	0.6553	-0.03	-33.88	0.02281	11.82	2009-03-20
12.37	0.6571	0.67	40.27	0.05966	11.85	2009-03-23
11.94	0.6466	-0.43	7.271	0.05354	11.86	2009-03-24
11.75	0.6554	-0.19	-34.68	0.03299	11.85	2009-03-25
12.36	0.66	0.61	57.24	0.06517	11.89	2009-03-26
12.08	0.6465	-0.28	83.39	0.0673	11.9	2009-03-27
11.91	0.6296	-0.17	22.14	0.05464	11.9	2009-03-30
12.38	0.6282	0.47	103.4	0.08159	11.93	2009-03-31
12.09	0.6212	-0.29	71.59	0.07865	11.94	2009-04-01
12.38	0.6218	0.29	131.5	0.09858	11.97	2009-04-02
13.38	0.6552	1.0	237.7	0.1928	12.06	2009-04-03
13.17	0.6456	-0.21	223.9	0.2477	12.13	2009-04-06
12.73	0.6323	-0.44	141.1	0.2528	12.17	2009-04-07
12.88	0.6107	0.15	111.4	0.2659	12.22	2009-04-08
13.09	0.5978	0.21	142.2	0.2899	12.27	2009-04-09
13.61	0.6087	0.52	167.2	0.3468	12.36	2009-04-13
12.99	0.6131	-0.62	111.7	0.338	12.4	2009-04-14
13.16	0.6014	0.17	80.55	0.3409	12.45	2009-04-15
12.93	0.5885	-0.23	64.97	0.3208	12.48	2009-04-16
12.92	0.5764	-0.01	53.66	0.3007	12.51	2009-04-17
12.25	0.5838	-0.67	-24.54	0.228	12.49	2009-04-20
13.06	0.6128	0.81	16.88	0.2331	12.53	2009-04-21
12.81	0.6126	-0.25	48.8	0.2145	12.55	2009-04-22
12.97	0.5989	0.16	38.78	0.2103	12.57	2009-04-23
13.45	0.5997	0.48	103.1	0.2428	12.63	2009-04-24
13.11	0.5847	-0.34	69.54	0.2384	12.66	2009-04-27
13.52	0.6058	0.41	128.0	0.265	12.72	2009-04-28
14.14	0.6104	0.62	246.7	0.3322	12.81	2009-04-29
14.47	0.6382	0.33	307.2	0.4075	12.92	2009-04-30
14.48	0.6505	0.01	204.7	0.4626	13.02	2009-05-01
15.19	0.6654	0.71	222.7	0.5571	13.16	2009-05-04
15.01	0.6422	-0.18	183.0	0.6104	13.28	2009-05-05
14.74	0.6356	-0.27	131.5	0.6237	13.37	2009-05-06
14.59	0.6166	-0.15	98.23	0.6151	13.45	2009-05-07
15.24	0.6197	0.65	110.7	0.6532	13.56	2009-05-08
14.68	0.6155	-0.56	83.17	0.6309	13.64	2009-05-11
14.52	0.6122	-0.16	61.19	0.5935	13.69	2009-05-12
14.38	0.5992	-0.14	37.14	0.5462	13.74	2009-05-13
14.39	0.5814	0.01	31.23	0.5038	13.78	2009-05-14
14.51	0.5634	0.12	35.84	0.4743	13.83	2009-05-15
14.81	0.5596	0.3	48.59	0.4698	13.89	2009-05-18
14.45	0.5532	-0.36	30.45	0.4322	13.93	2009-05-19
14.49	0.5509	0.04	36.12	0.401	13.96	2009-05-20
14.78	0.5408	0.29	36.77	0.3951	14.02	2009-05-21
14.66	0.5386	-0.12	50.82	0.3764	14.06	2009-05-22
14.89	0.5258	0.23	54.13	0.3758	14.11	2009-05-26
14.7	0.5347	-0.19	57.15	0.3559	14.15	2009-05-27
14.83	0.5165	0.13	46.68	0.3467	14.19	2009-05-28
15.1	0.5125	0.27	99.46	0.357	14.25	2009-05-29
14.87	0.5259	-0.23	92.58	0.3427	14.29	2009-06-01
14.9	0.5119	0.03	33.6	0.3299	14.33	2009-06-02
15.22	0.5217	0.32	141.0	0.3417	14.39	2009-06-03
15.51	0.5323	0.29	263.2	0.3702	14.46	2009-06-04
15.45	0.5265	-0.06	209.9	0.3835	14.52	2009-06-05
15.57	0.5217	0.12	177.7	0.3991	14.59	2009-06-08
15.31	0.5152	-0.26	124.1	0.3861	14.64	2009-06-09
15.45	0.5091	0.14	102.0	0.3826	14.69	2009-06-10
14.88	0.5191	-0.57	32.01	0.3301	14.7	2009-06-11
14.35	0.5285	-0.53	-86.91	0.2429	14.68	2009-06-12
14.37	0.535	0.02	-124.9	0.1734	14.66	2009-06-15
13.93	0.544	-0.44	-165.1	0.08186	14.61	2009-06-16
13.68	0.5415	-0.25	-203.8	-0.01072	14.55	2009-06-17
13.7	0.5264	0.02	-188.6	-0.08154	14.5	2009-06-18
13.69	0.5088	-0.01	-158.7	-0.1369	14.45	2009-06-19
13.66	0.5082	-0.03	-126.7	-0.1811	14.39	2009-06-22
13.98	0.4976	0.32	-93.52	-0.1881	14.37	2009-06-23
13.63	0.4978	-0.35	-94.98	-0.2194	14.32	2009-06-24
13.82	0.4944	0.19	-88.68	-0.2263	14.29	2009-06-25
14.23	0.4948	0.41	-48.34	-0.1964	14.28	2009-06-26
14.05	0.4816	-0.18	-42.31	-0.1851	14.27	2009-06-29
13.89	0.4779	-0.16	-46.9	-0.1868	14.24	2009-06-30
13.56	0.4723	-0.33	-71.95	-0.2124	14.2	2009-07-01
13.4	0.4643	-0.16	-85.6	-0.2428	14.15	2009-07-02
13.53	0.4504	0.13	-84.91	-0.2535	14.11	2009-07-06
13.32	0.449	-0.21	-97.48	-0.2757	14.06	2009-07-07
13.27	0.4533	-0.05	-126.0	-0.294	14.01	2009-07-08
13.48	0.4395	0.21	-87.2	-0.2882	13.97	2009-07-09
13.35	0.4245	-0.13	-109.4	-0.2908	13.93	2009-07-10
13.46	0.4156	0.11	-101.1	-0.2807	13.9	2009-07-13
13.45	0.4002	-0.01	-80.21	-0.2704	13.87	2009-07-14
13.97	0.4109	0.52	57.02	-0.2177	13.88	2009-07-15
14.37	0.4223	0.4	164.1	-0.1421	13.91	2009-07-16
14.3	0.4086	-0.07	170.0	-0.0868	13.94	2009-07-17
14.97	0.4301	0.67	218.5	0.01096	14.0	2009-07-20
