Close	ATR	Momentum	CCI	MACD	EMA	Times
15.09	0.634	-0.45	-179.5	-0.1001	15.93	2009-02-20
14.52	0.653	-0.57	-226.2	-0.1944	15.84	2009-02-23
14.66	0.6357	0.14	-176.1	-0.2548	15.76	2009-02-24
14.15	0.6288	-0.51	-179.2	-0.34	15.66	2009-02-25
14.02	0.6182	-0.13	-159.5	-0.4132	15.55	2009-02-26
14.35	0.6233	0.33	-128.3	-0.4395	15.47	2009-02-27
13.98	0.6117	-0.37	-123.3	-0.4847	15.38	2009-03-02
13.7	0.6008	-0.28	-132.1	-0.5368	15.27	2009-03-03
13.7	0.6022	0.0	-124.3	-0.5716	15.17	2009-03-04
13.14	0.6078	-0.56	-131.6	-0.637	15.04	2009-03-05
13.29	0.5901	0.15	-121.0	-0.669	14.92	2009-03-06
12.93	0.5865	-0.36	-119.4	-0.7152	14.8	2009-03-09
13.6	0.5989	0.67	-86.24	-0.6897	14.72	2009-03-10
13.62	0.594	0.02	-59.31	-0.6604	14.65	2009-03-11
14.09	0.6008	0.47	-42.64	-0.5923	14.61	2009-03-12
14.37	0.5872	0.28	1.633	-0.51	14.6	2009-03-13
14.1	0.5881	-0.27	4.255	-0.4611	14.56	2009-03-16
14.62	0.5875	0.52	31.74	-0.3761	14.57	2009-03-17
14.45	0.577	-0.17	39.23	-0.3188	14.56	2009-03-18
14.47	0.5701	0.02	60.04	-0.2687	14.55	2009-03-19
14.61	0.5629	0.14	97.09	-0.2152	14.56	2009-03-20
15.99	0.6456	1.38	249.7	-0.06073	14.65	2009-03-23
15.87	0.6237	-0.12	214.4	0.0514	14.73	2009-03-24
16.14	0.627	0.27	206.5	0.1602	14.82	2009-03-25
15.98	0.6123	-0.16	154.1	0.2309	14.89	2009-03-26
15.88	0.5992	-0.1	123.9	0.2756	14.96	2009-03-27
15.63	0.5886	-0.25	84.57	0.2876	15.0	2009-03-30
15.62	0.5751	-0.01	78.3	0.2929	15.04	2009-03-31
15.94	0.5826	0.32	76.21	0.3193	15.1	2009-04-01
16.48	0.6053	0.54	115.5	0.3793	15.19	2009-04-02
16.19	0.602	-0.29	86.74	0.3989	15.25	2009-04-03
16.2	0.5847	0.01	68.47	0.4106	15.31	2009-04-06
16.48	0.5966	0.28	80.69	0.4373	15.39	2009-04-07
16.68	0.5861	0.2	101.1	0.4693	15.47	2009-04-08
17.43	0.6035	0.75	146.9	0.5488	15.6	2009-04-09
17.55	0.5875	0.12	163.0	0.6144	15.72	2009-04-13
17.39	0.5813	-0.16	141.5	0.646	15.83	2009-04-14
17.47	0.5848	0.08	121.2	0.6698	15.94	2009-04-15
18.28	0.6166	0.81	175.2	0.7455	16.09	2009-04-16
18.06	0.6225	-0.22	154.9	0.7787	16.22	2009-04-17
18.11	0.6059	0.05	129.6	0.7998	16.34	2009-04-20
18.42	0.6155	0.31	126.0	0.832	16.47	2009-04-21
17.96	0.6108	-0.46	101.9	0.811	16.57	2009-04-22
17.66	0.6143	-0.3	62.47	0.7614	16.64	2009-04-23
17.8	0.6069	0.14	61.88	0.725	16.71	2009-04-24
17.6	0.6085	-0.2	55.74	0.6723	16.77	2009-04-27
18.05	0.6258	0.45	64.27	0.6593	16.85	2009-04-28
18.73	0.6568	0.68	124.8	0.6958	16.97	2009-04-29
18.91	0.6442	0.18	146.0	0.7308	17.1	2009-04-30
18.97	0.6382	0.06	123.8	0.7547	17.22	2009-05-01
18.96	0.6311	-0.01	139.9	0.764	17.33	2009-05-04
18.9	0.6289	-0.06	120.3	0.7578	17.43	2009-05-05
18.78	0.6176	-0.12	102.0	0.7348	17.52	2009-05-06
18.36	0.6327	-0.42	53.56	0.6748	17.57	2009-05-07
18.88	0.6354	0.52	78.31	0.6617	17.66	2009-05-08
18.71	0.6264	-0.17	61.8	0.6302	17.73	2009-05-11
18.91	0.6138	0.2	70.81	0.6144	17.8	2009-05-12
18.14	0.6336	-0.77	-16.98	0.5335	17.82	2009-05-13
18.13	0.6219	-0.01	-35.65	0.4633	17.84	2009-05-14
17.91	0.611	-0.22	-80.68	0.3855	17.85	2009-05-15
18.47	0.6081	0.56	-19.96	0.3648	17.89	2009-05-18
18.46	0.5804	-0.01	12.47	0.3436	17.93	2009-05-19
18.22	0.5925	-0.24	-4.566	0.304	17.94	2009-05-20
17.97	0.5902	-0.25	-83.46	0.2495	17.95	2009-05-21
17.85	0.5737	-0.12	-106.8	0.1944	17.94	2009-05-22
18.56	0.6049	0.71	-39.23	0.2056	17.98	2009-05-26
18.19	0.5995	-0.37	-41.58	0.1826	17.99	2009-05-27
18.24	0.6024	0.05	-81.28	0.1665	18.01	2009-05-28
17.99	0.5944	-0.25	-89.83	0.132	18.01	2009-05-29
18.8	0.6269	0.81	54.72	0.1681	18.06	2009-06-01
19.09	0.6193	0.29	123.3	0.2176	18.13	2009-06-02
18.89	0.6022	-0.2	106.1	0.2379	18.18	2009-06-03
18.68	0.5928	-0.21	70.53	0.2344	18.21	2009-06-04
18.61	0.5819	-0.07	46.68	0.2234	18.23	2009-06-05
18.9	0.5817	0.29	89.15	0.2353	18.28	2009-06-08
18.78	0.5637	-0.12	79.15	0.2324	18.31	2009-06-09
18.71	0.5535	-0.07	76.61	0.2219	18.33	2009-06-10
18.68	0.5339	-0.03	62.9	0.2088	18.36	2009-06-11
18.83	0.5222	0.15	51.75	0.2081	18.39	2009-06-12
18.4	0.5285	-0.43	-12.99	0.1709	18.39	2009-06-15
18.35	0.5129	-0.05	-33.5	0.1357	18.39	2009-06-16
18.54	0.5134	0.19	22.79	0.1219	18.4	2009-06-17
19.15	0.5239	0.61	104.9	0.1582	18.44	2009-06-18
18.98	0.5165	-0.17	118.9	0.1714	18.48	2009-06-19
17.9	0.5667	-1.08	-150.0	0.09357	18.44	2009-06-22
17.9	0.5677	0.0	-162.5	0.03155	18.41	2009-06-23
18.11	0.5485	0.21	-108.9	-0.0006591	18.39	2009-06-24
18.11	0.5329	0.0	-98.29	-0.02588	18.37	2009-06-25
17.99	0.5156	-0.12	-132.8	-0.05492	18.35	2009-06-26
18.05	0.5052	0.06	-105.8	-0.07226	18.33	2009-06-29
17.75	0.497	-0.3	-115.5	-0.109	18.29	2009-06-30
17.72	0.495	-0.03	-128.3	-0.1389	18.25	2009-07-01
17.33	0.4897	-0.39	-143.4	-0.1918	18.19	2009-07-02
