Close	ATR	Momentum	CCI	MACD	EMA	Times
11.75	0.3468	-0.1	144.7	-0.2163	11.75	2009-02-20
11.48	0.3499	-0.27	75.32	-0.1991	11.73	2009-02-23
11.75	0.3528	0.27	89.82	-0.1618	11.73	2009-02-24
11.56	0.3526	-0.19	56.68	-0.1458	11.72	2009-02-25
11.34	0.3524	-0.22	15.25	-0.1493	11.7	2009-02-26
11.57	0.3679	0.23	31.88	-0.1319	11.69	2009-02-27
11.29	0.3674	-0.28	-3.788	-0.1391	11.66	2009-03-02
11.13	0.3676	-0.16	-78.28	-0.156	11.63	2009-03-03
11.39	0.3756	0.26	-31.46	-0.1466	11.61	2009-03-04
11.69	0.3909	0.3	106.3	-0.1137	11.62	2009-03-05
11.49	0.3973	-0.2	17.71	-0.1026	11.61	2009-03-06
11.16	0.3996	-0.33	-72.36	-0.119	11.58	2009-03-09
11.43	0.3982	0.27	-40.46	-0.109	11.57	2009-03-10
11.21	0.3976	-0.22	-59.11	-0.1175	11.55	2009-03-11
11.56	0.3992	0.35	-3.593	-0.09486	11.55	2009-03-12
11.62	0.39	0.06	41.89	-0.07126	11.55	2009-03-13
11.53	0.3771	-0.09	36.62	-0.05914	11.55	2009-03-16
11.81	0.3702	0.28	90.01	-0.02663	11.57	2009-03-17
11.92	0.3802	0.11	136.3	0.007913	11.59	2009-03-18
11.8	0.3752	-0.12	132.2	0.02532	11.6	2009-03-19
11.72	0.3719	-0.08	83.58	0.03228	11.61	2009-03-20
12.16	0.3811	0.44	165.7	0.07247	11.65	2009-03-23
12.07	0.371	-0.09	168.2	0.09595	11.67	2009-03-24
12.21	0.3724	0.14	164.3	0.1244	11.71	2009-03-25
12.46	0.3679	0.25	189.6	0.1653	11.76	2009-03-26
12.42	0.3581	-0.04	158.8	0.1922	11.8	2009-03-27
12.23	0.3546	-0.19	103.9	0.1959	11.83	2009-03-30
12.31	0.3529	0.08	98.83	0.203	11.86	2009-03-31
12.48	0.3584	0.17	110.4	0.2198	11.9	2009-04-01
12.67	0.3621	0.19	151.5	0.2456	11.95	2009-04-02
12.71	0.3591	0.04	128.3	0.2662	12.0	2009-04-03
12.62	0.3484	-0.09	104.8	0.2722	12.04	2009-04-06
12.38	0.3471	-0.24	62.08	0.2546	12.06	2009-04-07
12.43	0.3352	0.05	62.87	0.2419	12.08	2009-04-08
11.97	0.3612	-0.46	-45.28	0.1925	12.08	2009-04-09
12.17	0.3583	0.2	-9.965	0.1675	12.08	2009-04-13
12.08	0.3491	-0.09	-41.14	0.1389	12.08	2009-04-14
12.12	0.3378	0.04	-40.88	0.1181	12.09	2009-04-15
12.0	0.3336	-0.12	-63.49	0.09083	12.08	2009-04-16
11.86	0.3284	-0.14	-88.21	0.05729	12.07	2009-04-17
11.64	0.3263	-0.22	-152.6	0.01281	12.04	2009-04-20
11.77	0.3209	0.13	-144.0	-0.01181	12.02	2009-04-21
11.57	0.3223	-0.2	-141.7	-0.04692	11.99	2009-04-22
11.54	0.3149	-0.03	-149.8	-0.07629	11.96	2009-04-23
11.31	0.3239	-0.23	-148.2	-0.1168	11.92	2009-04-24
