Close	ATR	Momentum	CCI	MACD	EMA	Times
1194.51	27.22	-2.57	51.7	22.32	1159.78	2010-01-06
1195.37	26.62	0.86	48.06	21.27	1162.08	2010-01-07
1208.21	26.74	12.84	81.54	21.22	1165.05	2010-01-08
1201.36	26.54	-6.85	97.21	20.4	1167.4	2010-01-11
1172.25	27.64	-29.11	-52.57	17.2	1167.71	2010-01-12
1179.1	27.01	6.85	-132.6	15.05	1168.44	2010-01-13
1182.52	26.25	3.42	-52.76	13.46	1169.35	2010-01-14
1187.66	25.53	5.14	-16.7	12.47	1170.53	2010-01-15
1191.09	25.36	3.43	-7.755	11.83	1171.86	2010-01-18
1186.81	24.35	-4.28	-53.3	10.85	1172.82	2010-01-19
1185.09	23.89	-1.72	-80.89	9.823	1173.62	2010-01-20
1179.1	23.84	-5.99	-68.26	8.428	1173.97	2010-01-21
1167.97	24.4	-11.13	-189.5	6.351	1173.58	2010-01-22
1162.83	23.94	-5.14	-194.0	4.241	1172.89	2010-01-25
1172.25	24.43	9.42	-154.6	3.291	1172.85	2010-01-26
1167.11	23.97	-5.14	-128.3	2.099	1172.48	2010-01-27
1167.97	23.97	0.86	-85.77	1.21	1172.19	2010-01-28
1206.5	25.5	38.53	78.2	3.574	1174.4	2010-01-29
1208.21	25.51	1.71	119.7	5.521	1176.58	2010-02-01
1235.61	26.5	27.4	226.6	9.17	1180.39	2010-02-02
1215.06	26.2	-20.55	151.1	10.28	1182.63	2010-02-03
1201.36	26.29	-13.7	80.29	9.948	1183.84	2010-02-04
1172.25	27.04	-29.11	-42.67	7.248	1183.09	2010-02-05
1161.97	27.86	-10.28	-119.7	4.231	1181.73	2010-02-08
1160.26	27.15	-1.71	-105.7	1.682	1180.34	2010-02-09
1175.67	26.74	15.41	-53.54	0.8952	1180.04	2010-02-10
1178.24	26.55	2.57	-10.31	0.4735	1179.92	2010-02-11
1172.25	26.61	-5.99	-17.09	-0.34	1179.43	2010-02-12
1169.68	25.75	-2.57	-38.62	-1.179	1178.8	2010-02-15
1173.11	26.11	3.43	-62.04	-1.549	1178.43	2010-02-16
1206.5	27.06	33.39	64.53	0.8429	1180.24	2010-02-17
1214.21	26.41	7.71	89.04	3.322	1182.43	2010-02-18
1233.9	26.72	19.69	127.2	6.797	1185.75	2010-02-19
1229.62	25.85	-4.28	126.6	9.101	1188.58	2010-02-22
1209.07	27.13	-20.55	82.99	9.163	1189.91	2010-02-23
1206.5	26.66	-2.57	35.53	8.902	1190.98	2010-02-24
1196.23	26.96	-10.27	20.5	7.777	1191.32	2010-02-25
1215.92	26.74	19.69	48.08	8.377	1192.9	2010-02-26
1245.89	26.97	29.97	124.5	11.14	1196.32	2010-03-01
1266.44	26.7	20.55	172.5	14.82	1200.85	2010-03-02
1264.73	26.44	-1.71	155.3	17.4	1204.97	2010-03-03
1260.45	27.73	-4.28	125.8	18.88	1208.55	2010-03-04
1272.43	27.22	11.98	146.4	20.78	1212.67	2010-03-05
1271.58	25.95	-0.85	130.4	21.96	1216.47	2010-03-08
1275.0	25.26	3.42	113.4	22.91	1220.25	2010-03-09
1279.28	24.25	4.28	109.8	23.74	1224.05	2010-03-10
1292.99	24.11	13.71	119.2	25.21	1228.5	2010-03-11
1298.98	23.24	5.99	122.9	26.55	1233.05	2010-03-12
1285.28	23.05	-13.7	99.0	26.2	1236.42	2010-03-15
1285.28	22.99	0.0	79.2	25.64	1239.57	2010-03-16
1287.85	22.45	2.57	87.84	25.1	1242.69	2010-03-17
1300.69	22.62	12.84	95.27	25.42	1246.43	2010-03-18
1318.67	23.51	17.98	144.5	26.82	1251.09	2010-03-19
1308.4	24.04	-10.27	96.24	26.79	1254.79	2010-03-22
1308.4	23.42	0.0	104.5	26.46	1258.24	2010-03-23
1301.55	23.34	-6.85	84.41	25.35	1261.04	2010-03-24
1320.39	23.44	18.84	116.0	25.7	1264.87	2010-03-25
1325.52	23.05	5.13	120.7	26.09	1268.78	2010-03-26
1291.27	24.53	-34.25	55.65	23.36	1270.23	2010-03-29
1260.45	25.04	-30.82	-76.39	18.5	1269.6	2010-03-30
1262.16	24.96	1.71	-102.0	14.62	1269.12	2010-03-31
1281.85	24.89	19.69	-66.29	12.98	1269.94	2010-04-01
1288.7	24.15	6.85	-23.43	12.1	1271.15	2010-04-06
1298.12	24.26	9.42	36.6	12.02	1272.89	2010-04-07
1275.0	24.49	-23.12	-73.33	9.977	1273.03	2010-04-08
1299.84	24.57	24.84	2.813	10.24	1274.76	2010-04-09
1306.69	23.67	6.85	53.69	10.88	1276.82	2010-04-12
1321.24	23.51	14.55	97.49	12.42	1279.68	2010-04-13
1334.09	23.67	12.85	136.3	14.51	1283.19	2010-04-14
1350.36	23.45	16.27	192.9	17.28	1287.53	2010-04-15
1338.37	22.87	-11.99	149.0	18.29	1290.81	2010-04-16
1335.8	22.03	-2.57	104.9	18.67	1293.71	2010-04-19
1346.07	21.56	10.27	131.7	19.58	1297.09	2010-04-20
1344.36	21.18	-1.71	124.3	19.93	1300.14	2010-04-21
1346.93	21.63	2.57	106.7	20.18	1303.16	2010-04-22
1382.04	23.32	35.11	155.4	22.95	1308.25	2010-04-23
1396.6	23.49	14.56	171.4	26.02	1313.95	2010-04-26
1389.75	23.16	-6.85	147.3	27.58	1318.84	2010-04-27
1355.49	24.44	-34.26	70.46	25.76	1321.2	2010-04-28
1322.96	26.73	-32.53	2.178	21.44	1321.32	2010-04-29
1316.96	27.15	-6.0	-16.51	17.33	1321.03	2010-04-30
1301.55	27.9	-15.41	-57.59	12.69	1319.78	2010-05-04
1250.17	30.49	-51.38	-173.7	4.809	1315.29	2010-05-05
1221.06	31.98	-29.11	-201.7	-3.743	1309.21	2010-05-06
1161.12	35.39	-59.94	-278.7	-15.18	1299.65	2010-05-07
1233.9	38.06	72.78	-164.1	-18.17	1295.41	2010-05-10
1227.05	37.24	-6.85	-130.6	-20.84	1291.0	2010-05-11
1241.0	38.25	13.95	-105.8	-21.59	1287.77	2010-05-12
1255.56	37.84	14.56	-59.22	-20.77	1285.7	2010-05-13
1205.03	39.36	-50.53	-89.47	-23.92	1280.49	2010-05-14
1203.31	38.63	-1.72	-94.51	-26.25	1275.51	2010-05-17
1205.88	38.07	2.57	-79.98	-27.57	1271.02	2010-05-18
1164.77	38.41	-41.11	-103.2	-31.57	1264.17	2010-05-19
1132.23	40.38	-32.54	-122.2	-36.95	1255.65	2010-05-20
1123.66	40.12	-8.57	-133.0	-41.42	1247.14	2010-05-21
1122.81	38.66	-0.85	-121.2	-44.52	1239.12	2010-05-24
1084.27	39.02	-38.54	-146.5	-49.51	1229.13	2010-05-25
1126.23	39.97	41.96	-111.2	-49.51	1222.49	2010-05-26
1155.35	39.25	29.12	-71.77	-46.63	1218.16	2010-05-27
1186.18	39.2	30.83	-22.07	-41.38	1216.09	2010-05-28
1205.03	40.07	18.85	2.979	-35.29	1215.38	2010-06-01
1199.89	39.47	-5.14	10.85	-30.52	1214.38	2010-06-02
1217.87	38.61	17.98	63.01	-25.01	1214.61	2010-06-03
1193.04	38.48	-24.83	37.42	-22.38	1213.21	2010-06-04
1171.63	37.63	-21.41	-12.69	-21.78	1210.53	2010-06-07
1151.07	37.21	-20.56	-44.19	-22.7	1206.7	2010-06-08
1176.76	36.51	25.69	-16.37	-21.11	1204.76	2010-06-09
1207.6	36.96	30.84	40.83	-17.17	1204.95	2010-06-10
1199.89	36.09	-7.71	73.28	-14.5	1204.62	2010-06-11
1242.71	36.57	42.82	129.3	-8.822	1207.08	2010-06-14
1273.54	37.82	30.83	175.8	-1.817	1211.37	2010-06-15
1272.69	36.95	-0.85	170.8	3.624	1215.32	2010-06-16
1266.69	35.53	-6.0	134.5	7.368	1218.64	2010-06-17
1264.98	33.85	-1.71	120.0	10.08	1221.63	2010-06-18
1265.83	33.33	0.85	113.0	12.16	1224.48	2010-06-21
1311.23	35.35	45.4	151.0	17.27	1230.07	2010-06-22
1302.66	34.42	-8.57	121.4	20.39	1234.76	2010-06-23
1271.83	36.24	-30.83	93.19	20.15	1237.15	2010-06-24
1269.26	34.76	-2.57	59.68	19.52	1239.22	2010-06-25
1281.25	33.74	11.99	62.71	19.77	1241.93	2010-06-28
1226.44	35.25	-54.81	0.9389	15.36	1240.93	2010-06-29
