Close	ATR	Momentum	CCI	MACD	EMA	Times
39.03	1.246	-0.51	-151.9	-0.8573	41.76	2009-02-20
37.97	1.303	-1.06	-146.7	-1.007	41.51	2009-02-23
39.5	1.327	1.53	-105.8	-0.9908	41.38	2009-02-24
39.48	1.349	-0.02	-79.57	-0.9684	41.26	2009-02-25
38.87	1.355	-0.61	-77.61	-0.9885	41.11	2009-02-26
37.2	1.377	-1.67	-135.1	-1.126	40.85	2009-02-27
35.56	1.398	-1.64	-172.4	-1.352	40.51	2009-03-02
35.26	1.378	-0.3	-164.2	-1.537	40.17	2009-03-03
35.99	1.365	0.73	-134.5	-1.607	39.9	2009-03-04
34.09	1.407	-1.9	-169.2	-1.795	39.53	2009-03-05
35.08	1.414	0.99	-139.9	-1.842	39.24	2009-03-06
35.38	1.434	0.3	-106.5	-1.835	38.99	2009-03-09
36.92	1.445	1.54	-57.32	-1.685	38.86	2009-03-10
36.03	1.444	-0.89	-56.58	-1.62	38.68	2009-03-11
36.79	1.41	0.76	-42.23	-1.489	38.55	2009-03-12
36.82	1.359	0.03	-31.29	-1.368	38.44	2009-03-13
36.69	1.327	-0.13	-21.05	-1.267	38.33	2009-03-16
37.85	1.345	1.16	6.809	-1.082	38.3	2009-03-17
37.9	1.372	0.05	23.89	-0.9199	38.27	2009-03-18
37.44	1.372	-0.46	37.54	-0.8194	38.22	2009-03-19
36.21	1.422	-1.23	-11.44	-0.8294	38.09	2009-03-20
38.64	1.505	2.43	67.46	-0.6339	38.12	2009-03-23
38.01	1.457	-0.63	85.59	-0.5238	38.12	2009-03-24
38.44	1.448	0.43	105.4	-0.3973	38.14	2009-03-25
39.03	1.41	0.59	141.6	-0.2466	38.2	2009-03-26
38.34	1.386	-0.69	100.9	-0.1807	38.21	2009-03-27
37.6	1.38	-0.74	37.32	-0.1861	38.17	2009-03-30
37.31	1.345	-0.29	33.48	-0.2113	38.11	2009-03-31
37.93	1.366	0.62	29.76	-0.1792	38.1	2009-04-01
38.49	1.343	0.56	104.2	-0.1073	38.12	2009-04-02
38.59	1.302	0.1	95.22	-0.04183	38.15	2009-04-03
38.38	1.265	-0.21	68.75	-0.006784	38.17	2009-04-06
37.65	1.254	-0.73	-3.87	-0.03748	38.14	2009-04-07
37.78	1.231	0.13	-2.316	-0.05073	38.11	2009-04-08
38.26	1.2	0.48	60.21	-0.02225	38.12	2009-04-09
37.27	1.195	-0.99	-59.84	-0.07865	38.07	2009-04-13
37.09	1.175	-0.18	-134.8	-0.1363	38.0	2009-04-14
37.33	1.141	0.24	-83.94	-0.1608	37.96	2009-04-15
36.93	1.13	-0.4	-100.4	-0.21	37.89	2009-04-16
36.57	1.107	-0.36	-118.5	-0.2749	37.81	2009-04-17
35.77	1.089	-0.8	-200.7	-0.3865	37.68	2009-04-20
36.29	1.067	0.52	-163.2	-0.428	37.59	2009-04-21
35.48	1.056	-0.81	-176.6	-0.5202	37.45	2009-04-22
36.0	1.03	0.52	-139.5	-0.5451	37.36	2009-04-23
36.47	1.007	0.47	-73.4	-0.5209	37.3	2009-04-24
36.23	0.998	-0.24	-89.28	-0.5151	37.23	2009-04-27
36.75	1.02	0.52	-46.42	-0.4632	37.2	2009-04-28
37.5	1.007	0.75	18.95	-0.3575	37.22	2009-04-29
36.53	1.034	-0.97	-19.88	-0.348	37.18	2009-04-30
37.26	1.038	0.73	-4.577	-0.2783	37.18	2009-05-01
37.37	1.012	0.11	54.47	-0.2117	37.19	2009-05-04
